"Jan_irrigationGross","Jan_GrossIrr_km3_pgi","Jan_GrossIrr_percent_pgi","Feb_irrigationGross","Feb_GrossIrr_km3_pgi","Feb_GrossIrr_percent_pgi","Mar_irrigationGross","Mar_GrossIrr_km3_pgi","Mar_GrossIrr_percent_pgi","Apr_irrigationGross","Apr_GrossIrr_km3_pgi","Apr_GrossIrr_percent_pgi","May_irrigationGross","May_GrossIrr_km3_pgi","May_GrossIrr_percent_pgi","Jun_irrigationGross","Jun_GrossIrr_km3_pgi","Jun_GrossIrr_percent_pgi","Jul_irrigationGross","Jul_GrossIrr_km3_pgi","Jul_GrossIrr_percent_pgi","Aug_irrigationGross","Aug_GrossIrr_km3_pgi","Aug_GrossIrr_percent_pgi","Sep_irrigationGross","Sep_GrossIrr_km3_pgi","Sep_GrossIrr_percent_pgi","Oct_irrigationGross","Oct_GrossIrr_km3_pgi","Oct_GrossIrr_percent_pgi","Nov_irrigationGross","Nov_GrossIrr_km3_pgi","Nov_GrossIrr_percent_pgi","Dec_irrigationGross","Dec_GrossIrr_km3_pgi","Dec_GrossIrr_percent_pgi","Jan_irrigationGross_stdev","Jan_GrossIrr_km3_pgi_stdev","Jan_GrossIrr_percent_pgi_stdev","Feb_irrigationGross_stdev","Feb_GrossIrr_km3_pgi_stdev","Feb_GrossIrr_percent_pgi_stdev","Mar_irrigationGross_stdev","Mar_GrossIrr_km3_pgi_stdev","Mar_GrossIrr_percent_pgi_stdev","Apr_irrigationGross_stdev","Apr_GrossIrr_km3_pgi_stdev","Apr_GrossIrr_percent_pgi_stdev","May_irrigationGross_stdev","May_GrossIrr_km3_pgi_stdev","May_GrossIrr_percent_pgi_stdev","Jun_irrigationGross_stdev","Jun_GrossIrr_km3_pgi_stdev","Jun_GrossIrr_percent_pgi_stdev","Jul_irrigationGross_stdev","Jul_GrossIrr_km3_pgi_stdev","Jul_GrossIrr_percent_pgi_stdev","Aug_irrigationGross_stdev","Aug_GrossIrr_km3_pgi_stdev","Aug_GrossIrr_percent_pgi_stdev","Sep_irrigationGross_stdev","Sep_GrossIrr_km3_pgi_stdev","Sep_GrossIrr_percent_pgi_stdev","Oct_irrigationGross_stdev","Oct_GrossIrr_km3_pgi_stdev","Oct_GrossIrr_percent_pgi_stdev","Nov_irrigationGross_stdev","Nov_GrossIrr_km3_pgi_stdev","Nov_GrossIrr_percent_pgi_stdev","Dec_irrigationGross_stdev","Dec_GrossIrr_km3_pgi_stdev","Dec_GrossIrr_percent_pgi_stdev"
"Ganges",40.9988976678308,0.0995154259114199,0.229283843171086,45.9885197371367,0.0725733524126066,0.158733909998093,35.5609761795995,0.0340674180601908,0.0967401461875738,40.6861569882559,0.0459689001329952,0.110103351382385,50.4212131821832,0.140791349335579,0.275017985739466,67.7355813019191,2.67253309929974,3.80407854572745,19.5691954013954,0.80978603904886,3.86979845459254,29.98445222743,0.647147379127646,2.06875203982506,46.1398878512325,0.832710097502801,1.72404496145365,28.9772374875163,0.344341882156903,1.12440176127821,36.0828436475897,0.158579752444123,0.419942639873519,NA,NA,NA,5.91620241418042,0.070000690627486,0.133955484365865,4.64887312478154,0.0297252726154546,0.0645478649480109,3.7697977760054,0.0144137496366731,0.0421039677207882,3.65124157713601,0.0242278722672245,0.0490009060772897,3.48391467587034,0.0485981950735404,0.0859879104710647,13.1653318280232,1.27014724635004,1.20274573187029,5.70910433181627,0.53133099594645,1.76884875919905,2.94734159058113,0.412838294337898,1.17346232468545,5.52926491228906,0.547050033009626,0.959839875669789,3.98353073022457,0.25151536790109,0.657055084112443,4.10668480544323,0.104905847488959,0.241515598900209,NA,NA,NA
"Mekong",7.69502653130647,7.67623457346519e-05,0.000984068421803056,5.67936679028941,1.87950481909617e-05,0.000329462595106654,2.34187874314474,4.12251209434709e-06,0.000175956661817107,1.25812070811466,2.57756268491562e-06,0.000199683462311307,3.78048735846437,1.16012067066755e-05,0.000324246838256762,4.05537689001638,0.000232322141137269,0.00590915475712414,4.71647733799454,0.000302979452600732,0.00639162734446357,3.99046593641523,0.000438865054027469,0.0110920293339642,3.37058233976075,0.000411192209533488,0.0122228568223606,2.78562177911279,0.000439668444037339,0.0156981448845988,6.83599567084041,0.000443855940223382,0.00642037610713988,NA,NA,NA,0.293260607002373,4.67905980939273e-05,0.000571070115428959,0.234219519391714,7.10013535464315e-06,0.000118288786050012,0.140196744958404,1.50070222082313e-06,6.48298010244832e-05,0.277608875228747,1.72964408209704e-06,0.000120996626588023,0.494326429732643,1.14565650520912e-05,0.000341686104103154,0.548257487214297,0.000172305958619497,0.00442357103544897,0.46940315908912,0.000111274385709156,0.00198951889156182,0.298208725628159,7.74351485905354e-05,0.00247088438641627,0.294836979328836,6.23708450799901e-05,0.00180458859121836,0.210332053762451,0.000119041581041001,0.00369170237888583,0.610739957220151,0.00021918688363047,0.002958785980397,NA,NA,NA
"Irawaddy",2.98198836754955,1.91198787451916e-07,6.4161359324918e-06,3.1275734745515,3.45719244668561e-07,1.09866408846249e-05,1.40756247250564,1.50720943490608e-07,1.06519452018131e-05,0.273283955121907,6.51833982778498e-08,2.65915317129846e-05,0.115102493428939,1.30058656531201e-06,0.000817938029235351,0.37776633830183,2.69249735731304e-06,0.000556851889789983,1.41598316777725,8.23227933019765e-05,0.00581417745237016,1.54027682718117,9.91238485906809e-05,0.00643008899398657,1.5341444116743,0.000102654140413616,0.00667888412812856,0.563928418352351,2.56210737577626e-05,0.0045303880211881,2.46056464484228,8.68807159830063e-06,0.000355629431296915,NA,NA,NA,0.0474262637734539,7.29641937035747e-08,2.45929875100291e-06,0.0863926343321413,2.32951177438111e-07,7.31860172053639e-06,0.0350015173458483,8.3039393445167e-08,5.71969973407143e-06,0.0685907277297845,3.30558400733491e-08,1.92564765188394e-05,0.0551686647797151,1.84117907354576e-06,0.000848304036278573,0.0721812365098573,6.24088489806807e-06,0.00126982930167586,0.110761690422244,1.82996816678479e-05,0.0012636703471907,0.0649836171791859,1.28383142006937e-05,0.000756262820926962,0.104759866374364,1.13760848664758e-05,0.000368445911875267,0.0643443198129611,5.55953291399785e-06,0.000757937326893647,0.0494674974256441,7.36220367544733e-06,0.000306374238525646,NA,NA,NA
"Luni_ext",2.2840837528981,0.0175846915239874,0.833449366477917,4.72318091398892,0.0227343499302673,0.476193785434966,5.19156217875394,0.0198297652505053,0.381155253710759,6.98668926620485,0.0185340828719255,0.267496343683967,7.68975480506043,0.0116260005771949,0.151685849604004,4.72948341281619,0.0128948178075772,0.280664481355326,2.17372096270696,0.037548727146653,1.65255397366886,3.93852407984833,0.0955757847190054,2.41454650390226,5.04174969507516,0.166026371910609,3.29786979112477,4.14277099391722,0.0904652138430569,2.15664891629113,2.79877450218126,0.0559078767912213,1.96308301727576,NA,NA,NA,1.09391723992697,0.00582607068710504,0.18266515822919,0.374746939711042,0.00802525569191651,0.138417243216404,0.672947486927827,0.00480021920481028,0.0719365370481639,0.852988461073179,0.00432603754930107,0.0588938129026604,0.76565141562082,0.00244784114079882,0.031564843602172,0.758167440281649,0.00295335791031901,0.0944159163585267,0.752433156222254,0.0200171609918727,0.651111013353413,0.36645710422723,0.0262599777137875,0.562400759712065,0.762919817180376,0.0530003545699285,0.930379537020231,0.543548035385767,0.0268000453696172,0.415607115482127,0.438659955932683,0.01699599649514,0.333305663510865,NA,NA,NA
"Indus",16.9417789395754,0.396707374355432,2.28251319942516,24.8021031281466,0.420296570533238,1.70940731447181,27.374860414373,0.281214015897086,1.02650962005446,39.7620878340165,0.223220958345803,0.574792400003544,26.4623565001657,0.129982686771394,0.49500548768242,58.6885616769156,1.41306562944909,2.37392206513168,42.2605931691026,2.10546522218111,4.88464064673186,63.1743377196025,4.52956240597441,7.12942795907336,63.8060278575415,5.78037539774899,9.02865555464543,26.4736385400992,2.0484326325162,7.74634889792015,32.49893845018,1.17844901027012,3.6066224748957,NA,NA,NA,6.00785831061418,0.176635777407696,0.251662951507819,2.28096190115656,0.0527678109292434,0.27813576338324,2.9853966529404,0.0532697640981951,0.149896989523533,7.72997251667797,0.0357385135319268,0.12982591727815,2.92437639618461,0.0305717544735635,0.127392004301385,7.67446498639293,0.429794226352963,0.551618567314278,7.76262201396361,0.711446414365414,1.13280523441209,5.7332194738028,1.21582088986187,1.55769895587954,7.51526566309654,1.05898647820871,0.934688567715725,2.0668780331177,0.263113062176519,0.897478202807985,2.21853003948997,0.211084582785134,0.466627811147855,NA,NA,NA
"Amu_Darya",0.110126990810109,0.00309045389290251,2.68713224455982,0.107676742270613,0.00255366583350593,1.96567669635269,0.16975925313718,0.00137333008691738,0.901022604964485,0.763164022753725,0.00509513522798912,0.660128020676445,3.33776392727524,0.0309908036609249,0.898365657827125,3.55996871263601,0.0614887643174236,1.71248157166007,8.0140903207967,0.339809540620338,4.25188076531151,9.29272469974719,0.749649835163562,8.07622904051016,5.64823156574219,0.48728012699811,8.62684472085806,3.03275068799657,0.17664432039377,5.80848712655337,0.527175810404174,0.0180024323927602,3.5292716505538,NA,NA,NA,0.0332069728696483,0.00168821185681906,0.605362733740245,0.0912626214303099,0.00370155138086392,1.16786325114098,0.137753820070481,0.00145267672314983,0.885359482845988,0.272898599203002,0.00236421100684219,0.164547448140486,0.601528834115823,0.0122222696466978,0.28671167014431,0.300537820925079,0.0153743194410512,0.315490272837969,0.525219960383175,0.0328041116374711,0.463448510112057,0.577485479358821,0.0890828851772971,0.886957798209477,0.4567505363356,0.0565527673592959,0.723892215581303,0.207745346358756,0.0240455741221125,0.485665717327146,0.341283805478494,0.0122007343283851,0.569335813915851,NA,NA,NA
"Brahmaputra",10.5335492554043,0.00230004139709039,0.0216197440575395,11.0500292459899,0.00222806467940058,0.0202813889791083,11.951058546353,0.00240865846951756,0.0201803349822554,4.56598398733574,0.00123299721186304,0.0269074050355726,7.49692039909835,0.00444891140923387,0.0573937161207544,7.00657930272883,0.044373036993165,0.573139430910403,8.93206188362583,0.0534354884593732,0.596859585428146,7.81460330828852,0.0405418623139948,0.519299089134943,8.02081671023991,0.0293462287099627,0.361873319217915,8.6330210098584,0.0114556288203335,0.134059574460683,4.73936116542984,0.00226450590975465,0.0487780807470516,NA,NA,NA,0.442630473649685,0.00112240449213587,0.0101883038210939,0.436560373955556,0.000737274036687266,0.00697890201089905,0.397614221414962,0.000554552194522237,0.00460566188924909,0.485088575900099,0.000341870247041376,0.00682186052872882,0.999968639495955,0.00235711061917454,0.0230732601469445,1.6989920599239,0.0374367652331296,0.345185650695495,1.86617353356575,0.0289055870986226,0.301802788206227,0.605732487434242,0.0224698943798199,0.289830990019857,0.873354633775765,0.011667523931947,0.136714089599527,0.377862421646812,0.00602593348921807,0.0757080056174995,0.347496959553322,0.00217571461629455,0.0483283434773012,NA,NA,NA
"Syr_Darya",0.0912053480456431,0.00187052700350983,1.61184366761847,0.0423404592573509,0.000973920411399371,1.93376835268598,0.04166875769954,0.000776439623501458,1.45134603318507,0.0803561411939455,0.00138346441441618,1.51121723423475,0.916618793322205,0.00854661514642237,0.867436220685377,1.60730162160796,0.0163476892350993,1.025999176428,5.17552466560652,0.122283198524732,2.36265741341524,6.50350290519145,0.269333741382197,4.09562465787458,4.12326115176527,0.184894200992263,4.49331615909751,1.55335625204202,0.0594379179311762,3.79416745919767,0.08299694922736,0.00318839014657429,3.17053950675876,NA,NA,NA,0.0649642237748219,0.00182760601797693,0.855469235942486,0.031166239934619,0.00127770097555424,1.19084833851085,0.0259028055888321,0.000718857526909498,1.24949111409385,0.0901343101704859,0.00163764653063717,0.443374442724223,0.563011649233503,0.00663703971494895,0.283767147283696,0.157292885914387,0.00433557908548377,0.31168535916966,0.474628022205689,0.0189609638527766,0.321808613179484,0.61137024320011,0.0661587499152446,0.623362753218014,0.565085693411682,0.0394013582227207,0.726485544289907,0.25238523946395,0.0157392550630351,0.629220611626533,0.124520239628337,0.0052527314873319,0.644209589255717,NA,NA,NA
"Salween",0.662948215513205,7.57227951824371e-06,0.00114131490059305,0.647949829906311,8.42673151004237e-06,0.00129593293228823,0.313075069096816,5.59538593307778e-06,0.00181001900325026,0.055159677602139,1.59197282931343e-06,0.0026595821295993,0.0719665006584224,9.27129358146664e-06,0.0127576413354901,0.229334316817088,0.00106136649886363,0.453326424091402,0.311098774413068,0.00228310789242017,0.740655442321819,0.390650372835335,0.00334661829259187,0.851505878175902,0.399108961224258,0.00236683775624471,0.592860058522629,0.152039474162683,0.000567177407924018,0.370482477869132,0.545650028739073,5.60381490930944e-05,0.0103105863418594,NA,NA,NA,0.0140253059812209,1.52518571775666e-06,0.000223780241158988,0.0311359804906375,1.57555351946428e-06,0.000192059299698781,0.0172608265600972,2.75109050770494e-06,0.000967374623233578,0.0147120518882994,1.30014343658572e-06,0.00193857385719734,0.0105869614814295,9.66481057393902e-06,0.0136380386047744,0.0201798050459942,0.000492881153592683,0.188232793125449,0.0178679951825449,0.00075982452831131,0.25773672214432,0.0223987905980671,0.000635219524748246,0.11995322630145,0.0191486245820045,0.000456006722244733,0.111141858621961,0.013040947742449,0.000199498116137096,0.117913821185902,0.00861104300059892,2.36713045022667e-05,0.00443281271444671,NA,NA,NA
"Tarim",0.124034601367611,0.00197250912444555,1.61820725161036,0.212305787206787,0.00187179833277787,0.871364966449364,0.254623792573057,0.001292794994411,0.512832462880371,0.106134872741314,0.000362631290265274,0.341957171970524,4.81707874323913,0.0614829828888884,1.22409718095073,5.82892991930095,0.279342301224397,4.79121531274498,8.32651380205734,1.08540392340806,13.033605272798,6.6145106264427,1.01527968149617,15.2572254891175,2.4518126851062,0.294667032565813,11.9561870760118,0.66406907824359,0.0150713281419637,2.23497186079148,0.106305318585707,0.00128712695268197,1.1907214901675,NA,NA,NA,0.0121307414466009,0.000531738430481121,0.50398284855525,0.0332019800328233,0.000546368934362735,0.170650877579973,0.0304183033444253,0.000295208044851093,0.122468753605232,0.0512428129906304,0.000178649431907807,0.0777806998125662,0.502430621688451,0.0409155979091781,0.657928146327207,0.305221305206916,0.0404417422423098,0.633898948586776,0.208101763006235,0.0644190120887328,0.669022603605165,0.412304662265642,0.200229126431523,2.10503856070078,0.105261989082018,0.0754967622945235,2.73241740220236,0.198713908011143,0.00637508820080772,0.467246017757296,0.039200846226827,0.000808323334404319,0.481301203229585,NA,NA,NA
