"","2000","2001","2002","2003","2004","2005"
"Ganges",0.437010724501927,0.468357572049667,0.264602131973126,0.308428828164594,0.0980566920609304,0.463119440549553
"Mekong",0.00101462864225301,0.000320038668254359,0.0003429676419389,7.69079753329611e-05,4.95799646324302e-06,0.0010629790861343
"Irawaddy",4.37047176768288e-09,1.39944532772495e-08,4.92596933017126e-09,9.26277225696993e-09,1.0071158243725e-08,2.10872341699791e-09
"Luni_ext",0.0488978238888559,0.0738384735128807,0.0932810223112638,0.0569827803649786,0.0475876838429808,0.0465195273105085
"Indus",1.71758757572334,2.05494978574429,1.81191695382011,1.66746476171958,0.839447370567585,1.73015903687239
"Amu_Darya",0.00567555358693991,0.0189644938692786,0.0123889161773419,0.021203362759456,0.0192558993960433,0.0061663696175751
"Brahmaputra",0.011192931844878,0.0180531696659339,0.0129965756628958,0.00184658959781832,0.00397147148796875,0.0114351726513099
"Syr_Darya",0.000269492288875125,0.000777322084013959,0.000855931726718012,0.00210212282772264,0.000454397863964756,0.000383721276051146
"Salween",2.06529206391909e-07,2.40722466561698e-09,1.10917524238952e-08,1.13260953908364e-08,1.0196408800996e-09,1.99681211302883e-07
"Tarim",0.00285556084357864,0.01077712928887,0.0275202333333179,0.00461946840279587,0.00784893988060788,0.0037216601270727
"Ili",0.000604558581355442,0.0236471484968935,0.0147578084348696,0.00991437282515005,0.00659288564340769,0.000454314828794171
"Inner_Tibetan_Plateau",0,0,0,0,0,0
"Yangtze",0.245386451991721,0.230716966013754,0.0298735049799405,0.0993374828063741,0.0632219534525523,0.254531337580847
"Inner_Tibetan_Plateau_extended",0.000739578380742306,0.00105371542321597,0.00111022529004412,0.00356018046722948,0.00661549754855436,0.000526067687675491
"Yellow",0.000423120308361475,0.000295586235939789,0.00189583698552328,0.000956606027634506,5.82445104174264e-05,0.000455021353399378
"all_basins",2.47268652317896,2.9032247849243,2.27214042831685,2.17760858066945,1.09398785052654,2.51953345585878
