"irrigationGrwt","IrrGrwt_km3_pr","IrrGrwt_percent_pr","irrigationGrwt_stdev","IrrGrwt_mm_pr_stdev","IrrGrwt_percent_pr_stdev"
"Ganges",135.338834930516,120.416314583001,89.5412561960684,15.3565493742213,6.47564925690032,6.83685242240332
"Mekong",25.6834646765225,25.6040495677714,99.7060167068191,2.50976005587657,2.45496324216933,0.249430264362179
"Irawaddy",5.36904357656391,5.36895295403913,99.9987844933726,2.20499772278031,2.2048873532413,0.00149393701059216
"Luni_ext",4.48710808861583,2.45060022941072,61.4068695915174,2.5344088767234,0.768165081271085,15.1799516987753
"Indus",47.3617155208498,35.418619943636,75.4836463027516,10.4827827964418,6.20392336899308,5.11778440194578
"Amu_Darya",0.312770698591144,0.181919201837123,58.9900484596062,0.0443578293018196,0.00412657832510567,7.03053854124059
"Brahmaputra",47.5816668242654,46.2188055367789,97.1978443454999,3.71777096240222,3.20322148514663,1.05705741401445
"Syr_Darya",0.156079038642426,0.0874549652398784,50.4874161899269,0.108469600135404,0.0758905654317862,10.4024356719838
"Salween",0.344544462423417,0.344525111457471,99.9954554986033,0.105238482309562,0.1052201243948,0.0106397421736628
"Tarim",0.21603898591778,0.128450540431758,59.6381146537477,0.0353237314095139,0.0180157634624115,2.00200625668587
"Ili",0.288060495482513,0.154451077806792,53.818079437765,0.071916230926427,0.0386215915196208,3.412734914807
"Inner_Tibetan_Plateau",0,0,NA,0,0,NA
"Yangtze",104.012579376773,103.000975607487,99.0898332926238,14.088375620085,13.2946039020269,0.698339691375516
"Inner_Tibetan_Plateau_extended",0.0828893116781937,0.0405905098123584,49.3255670046933,0.0417220601223433,0.0202499874193268,2.5390731379564
"Yellow",0.470405303494705,0.413344510461489,87.6684623582822,0.295363467283515,0.259556750646092,2.4907863363569
"all_basins",371.861873323303,339.98003473127,91.5802512023784,23.8864008517733,14.8193153618033,3.943248866747
