"irrigationGrwt","IrrGrwt_km3_pu","IrrGrwt_percent_pu","irrigationGrwt_stdev","IrrGrwt_mm_pu_stdev","IrrGrwt_percent_pu_stdev"
"Ganges",147.888470983291,9.48167787791099,6.65781096657312,16.4115252234386,3.25518215807298,2.73971269626908
"Mekong",24.7574879930653,0.0221582508285514,0.0785540920450467,3.56221044591799,0.0520636269413792,0.184588417178952
"Irawaddy",4.31555872853677,1.22621082909304e-15,2.81613871357323e-14,0.344300166667603,2.81536005204665e-15,6.45023058625048e-14
"Luni_ext",6.61128939778493,1.98892773309437,32.5557019642807,2.38846905750477,0.50043113109929,9.9256512722295
"Indus",57.0384688428083,2.04027081864923,3.49996657194728,3.57648878713702,1.20493514008957,1.8751926025801
"Amu_Darya",0.33909366609854,0.0350293596871702,10.3498060723156,0.0643916701216623,0.00990795334751176,2.28970492177432
"Brahmaputra",46.4399985730896,0.0397658490088778,0.0795434582645865,5.53638917404951,0.0395693519047659,0.0761965889612836
"Syr_Darya",0.0843688275632161,0.0333253561186509,40.8611680266847,0.0234062724073814,0.00472453155328753,7.23253920165266
"Salween",0.325899875909557,1.65378247280636e-22,5.30426085310883e-20,0.0497144668682039,2.98437212120795e-22,9.42856374261632e-20
"Tarim",0.194818460563241,0.000313316345984261,0.113208985670683,0.0657978746218266,0.000554808093581082,0.185420272715927
"Ili",0.254087481657719,0.0637106839407738,29.1826849260425,0.150884440756784,0.0274555276592045,9.76312600507527
"Inner_Tibetan_Plateau",0.00142497909168148,0,NA,0.00220756919245156,0,NA
"Yangtze",120.246417875139,0.967822919603063,0.808297449477596,11.4959992089852,1.1647633711968,0.924854660948352
"Inner_Tibetan_Plateau_extended",0.0740936701806798,0.0188130914405674,26.7254052470852,0.0257043302130482,0.00670553251676806,8.47652976941665
"Yellow",1.0452783572487,0.00791413209792518,2.49087333138698,0.688910991421689,0.0163400232041099,5.78522075179148
"all_basins",409.770789367673,14.7000347521528,3.59156470132101,6.73963864760592,4.96069418654677,1.20680130639457
