"irrigationGrwt","IrrGrwt_km3_pu","IrrGrwt_percent_pu","irrigationGrwt_stdev","IrrGrwt_mm_pu_stdev","IrrGrwt_percent_pu_stdev"
"Ganges",135.338834930516,8.47378304753109,5.83592015171892,15.3565493742213,8.1602779460551,5.06404063723867
"Mekong",25.6834646765225,0.020826939141267,0.0738740917309001,2.50976005587657,0.0335348690468292,0.119498281892857
"Irawaddy",5.36904357656391,1.19385226703324e-13,2.19079773166167e-12,2.20499772278031,2.09480164427454e-13,4.07051535525881e-12
"Luni_ext",4.48710808861583,1.61011001002763,28.2579409852845,2.5344088767234,1.69740200106378,17.0045678478301
"Indus",47.3617155208498,1.12714352747317,2.29331145998229,10.4827827964418,0.569272332198099,0.74419827931828
"Amu_Darya",0.312770698591144,0.0264973318552399,8.45797432307885,0.0443578293018196,0.00794177531590618,2.32921550872147
"Brahmaputra",47.5816668242654,0.0368887225336527,0.0754023714137995,3.71777096240222,0.0326939091385539,0.0651501956015874
"Syr_Darya",0.156079038642426,0.0405815530991771,34.9088014948755,0.108469600135404,0.00500577952669222,16.8606182694374
"Salween",0.344544462423417,8.10019453626554e-22,2.59778389628442e-19,0.105238482309562,8.9129449329396e-22,3.29762434112997e-19
"Tarim",0.21603898591778,0.000797130498069517,0.386890514668115,0.0353237314095139,0.00185411638489381,0.894372155550654
"Ili",0.288060495482513,0.0797774891820359,28.3225801849614,0.071916230926427,0.0172439794042857,6.09458135881885
"Inner_Tibetan_Plateau",0,0,NA,0,0,NA
"Yangtze",104.012579376773,0.312006543243964,0.278485438698431,14.088375620085,0.34548657822901,0.260411377922155
"Inner_Tibetan_Plateau_extended",0.0828893116781937,0.0185197046395041,20.6654100337394,0.0417220601223433,0.0115007166542818,6.33920897891605
"Yellow",0.470405303494705,0.0151058856603464,2.41675376888995,0.295363467283515,0.0146661633426035,1.88601631327425
"all_basins",371.861873323303,11.7621427817601,3.05162856607365,23.8864008517733,10.2475009494663,2.51402677599163
