"irrigationGrwt","IrrGrwt_km3_ps","IrrGrwt_percent_ps","irrigationGrwt_stdev","IrrGrwt_mm_ps_stdev","IrrGrwt_percent_ps_stdev"
"Ganges",135.338834930516,5.86333366535544,4.20710916873413,15.3565493742213,2.90797018800011,1.67018536415159
"Mekong",25.6834646765225,0.057965947177426,0.217759883929373,2.50976005587657,0.0428886498395561,0.148526807438649
"Irawaddy",5.36904357656391,9.03316424322166e-05,0.00121162322486596,2.20499772278031,0.00012084410028692,0.0014894151731851
"Luni_ext",4.48710808861583,0.360511704987769,8.67211488599362,2.5344088767234,0.144344106501866,1.58569385607061
"Indus",47.3617155208498,9.36827624527542,19.2444027646623,10.4827827964418,3.80214080161697,4.60391819477885
"Amu_Darya",0.312770698591144,0.0947340270424652,29.4919172438187,0.0443578293018196,0.0381469736851973,7.16285187227851
"Brahmaputra",47.5816668242654,1.30634380068552,2.68601813873179,3.71777096240222,0.558447495879411,1.03200262069016
"Syr_Darya",0.156079038642426,0.0249359704451597,13.0025125934741,0.108469600135404,0.0253424366553027,5.81219285767771
"Salween",0.344544462423417,1.85965377932986e-05,0.00436855794394009,0.105238482309562,4.40523918884542e-05,0.0102108695187167
"Tarim",0.21603898591778,0.075675583927769,34.6258900475279,0.0353237314095139,0.0200240243868304,3.89024602050626
"Ili",0.288060495482513,0.0445567382179448,14.8507619797508,0.071916230926427,0.0210442836820167,4.18608916256782
"Inner_Tibetan_Plateau",0,0,NA,0,0,NA
"Yangtze",104.012579376773,0.639207179512389,0.576645002640898,14.088375620085,0.562517228399619,0.407654576023376
"Inner_Tibetan_Plateau_extended",0.0828893116781937,0.0207959063845228,26.5261235289245,0.0417220601223433,0.00844158366954809,4.10539256449328
"Yellow",0.470405303494705,0.0417847433652305,9.87313541487708,0.295363467283515,0.0287435552581723,3.57552100235966
"all_basins",371.861873323303,17.9030976288589,4.77868328747626,23.8864008517733,5.88088950909187,1.39090283342698
