"irrigationGrwt","IrrGrwt_km3_pu","IrrGrwt_percent_pu","irrigationGrwt_stdev","IrrGrwt_mm_pu_stdev","IrrGrwt_percent_pu_stdev"
"Ganges",139.036647991789,28.9152940856296,20.6228614334612,6.83063511384278,9.43737007416389,6.03165681568055
"Mekong",13.3966852300529,0.049925684428716,0.334102508428357,1.54128875147059,0.101740965801822,0.672056447365259
"Irawaddy",2.30865918167995,4.08942100077094e-10,1.48314743673501e-08,0.297572633118639,1.80645170237869e-09,6.49210621012271e-08
"Luni_ext",14.1505048905038,6.00775811577707,42.290020707839,0.909690120958549,1.4078366374489,8.70003454733873
"Indus",110.921310425392,5.06690042900845,4.50673817413861,5.55587935048858,2.99760470749691,2.5209774446134
"Amu_Darya",4.62798749064769,0.804396242694446,17.3105202590857,0.23207987799876,0.217483144566422,4.34583819184876
"Brahmaputra",28.7018188593546,0.148566769740017,0.510537505074087,1.97716167448458,0.091002861654155,0.296411938901664
"Syr_Darya",2.62127060014721,0.00492237972763261,0.190347498538744,0.33235761109064,0.0011016134214851,0.0457532402627446
"Salween",0.256025882425904,5.05008456953606e-24,1.68728958247581e-21,0.0476669541184745,2.43224274941029e-23,8.13806489612209e-21
"Tarim",7.95186139440804,0.0674065745490658,0.817748289291603,0.487832448048499,0.0843091819385317,0.996646795046113
"Ili",10.9622383083148,4.01157272363187,36.5284057816194,0.436053308939742,0.500844492343438,3.70240513199234
"Inner_Tibetan_Plateau",0.0456628659304347,2.46147603686616e-05,0.0534730572240745,0.00117074487226959,0.000142304343216331,0.310024448513604
"Yangtze",127.524433369623,3.34692374608372,2.56593116743693,10.0976715268685,2.27898662766099,1.65526550673425
"Inner_Tibetan_Plateau_extended",2.9780620028459,0.395264683469215,13.0092257124882,0.176487909483347,0.231947347053508,7.20622559452612
"Yellow",21.5742583382061,2.39172414967783,10.8109065238025,1.75624376734201,1.33000643760256,5.49674929331722
"all_basins",487.460061508407,51.2146571883778,10.4604929062933,17.8780636697065,12.3942298699052,2.2997871860566
