"irrigationGrwt","IrrGrwt_km3_pr","IrrGrwt_percent_pr","irrigationGrwt_stdev","IrrGrwt_mm_pr_stdev","IrrGrwt_percent_pr_stdev"
"Ganges",147.888470983291,134.079021654713,90.3198847249956,16.4115252234386,20.799441806062,3.81809662671892
"Mekong",24.7574879930653,24.6853565865673,99.7287259971324,3.56221044591799,3.51384495379099,0.193768940181438
"Irawaddy",4.31555872853677,4.31555408308732,99.9998934130226,0.344300166667603,0.344299238716966,9.42573847472064e-05
"Luni_ext",6.61128939778493,4.22835117029604,60.6985819582333,2.38846905750477,2.49869800226438,12.634381743319
"Indus",57.0384688428083,43.8676408486337,77.0795263542751,3.57648878713702,4.00176173823968,7.97120083984389
"Amu_Darya",0.33909366609854,0.207989025481078,62.3750317986896,0.0643916701216623,0.023680447889546,8.0191428731178
"Brahmaputra",46.4399985730896,45.8890719199176,98.8731565567044,5.53638917404951,5.22212623965868,0.63686819970231
"Syr_Darya",0.0843688275632161,0.0400525334869974,46.7834332003994,0.0234062724073814,0.0145189381726727,4.47671684255914
"Salween",0.325899875909557,0.325895130846896,99.9986475978679,0.0497144668682039,0.0497108125768985,0.00124072218772987
"Tarim",0.194818460563241,0.123758351463919,65.1195024920021,0.0657978746218266,0.0347506783657639,12.4225841682255
"Ili",0.254087481657719,0.147592818067393,57.3616189534608,0.150884440756784,0.0947167830318305,6.00384183749766
"Inner_Tibetan_Plateau",0.00142497909168148,0.00132932572181025,NA,0.00220756919245156,0.00205938355688609,NA
"Yangtze",120.246417875139,117.54963530231,97.7806227998744,11.4959992089852,11.0146478399334,1.27212896911168
"Inner_Tibetan_Plateau_extended",0.0740936701806798,0.0411548163979239,53.316289657302,0.0257043302130482,0.0204794258038114,14.908807644645
"Yellow",1.0452783572487,0.944489999058602,89.0468441095487,0.688910991421689,0.623038321158663,7.8408546693741
"all_basins",409.770789367673,376.592866462771,91.8863228534374,6.73963864760592,14.723459466151,2.56542192512867
