"irrigationGrwt","IrrGrwt_km3_pgn","IrrGrwt_percent_pgn","irrigationGrwt_stdev","IrrGrwt_mm_pgn_stdev","IrrGrwt_percent_pgn_stdev"
"Ganges",147.888470983291,0.151170458369454,0.1047272238964,16.4115252234386,0.027154556966164,0.0283414062859814
"Mekong",24.7574879930653,0.000275985876849532,0.00111075115960252,3.56221044591799,0.000208994925273784,0.000899216685939312
"Irawaddy",4.31555872853677,1.26114329445334e-08,2.92211624777955e-07,0.344300166667603,6.90193205801802e-09,1.66991117765921e-07
"Luni_ext",6.61128939778493,0.0170678222427629,0.285273359524404,2.38846905750477,0.00185721244989107,0.103502474515015
"Indus",57.0384688428083,0.542308794168658,0.94416052772519,3.57648878713702,0.122150120039712,0.171938883832396
"Amu_Darya",0.33909366609854,0.00387700444222564,1.11264124833434,0.0643916701216623,0.00150762360292805,0.290344706939069
"Brahmaputra",46.4399985730896,0.00767725378340449,0.0157517885930973,5.53638917404951,0.00438014153487412,0.00815477746321834
"Syr_Darya",0.0843688275632161,0.000295751728144641,0.313604924251959,0.0234062724073814,0.000270416763328276,0.190391229253125
"Salween",0.325899875909557,9.17910141408203e-08,2.48133642504194e-05,0.0497144668682039,1.26751857888401e-07,3.32555531452896e-05
"Tarim",0.194818460563241,0.00123123477350036,0.610624741483102,0.0657978746218266,0.000842885654373376,0.252737362198806
"Ili",0.254087481657719,0.00165034383576451,0.505356018980669,0.150884440756784,0.00146186391208064,0.324484737183393
"Inner_Tibetan_Plateau",0.00142497909168148,0,NA,0.00220756919245156,0,NA
"Yangtze",120.246417875139,0.10431969629746,0.083614094158612,11.4959992089852,0.0585069266739845,0.0419357811251342
"Inner_Tibetan_Plateau_extended",0.0740936701806798,0.000262718821210922,0.350553868037027,0.0257043302130482,0.000166077141052209,0.171395005931728
"Yellow",1.0452783572487,0.000192875133618006,0.0345284842401096,0.688910991421689,0.000156782083351026,0.0556044596551625
"all_basins",409.770789367673,0.830841011442596,0.202962714608332,6.73963864760592,0.196394582964835,0.0483064117562843
