"Jan_irrigationGrwt","Jan_IrrGrwt_km3_pgn","Jan_IrrGrwt_percent_pgn","Feb_irrigationGrwt","Feb_IrrGrwt_km3_pgn","Feb_IrrGrwt_percent_pgn","Mar_irrigationGrwt","Mar_IrrGrwt_km3_pgn","Mar_IrrGrwt_percent_pgn","Apr_irrigationGrwt","Apr_IrrGrwt_km3_pgn","Apr_IrrGrwt_percent_pgn","May_irrigationGrwt","May_IrrGrwt_km3_pgn","May_IrrGrwt_percent_pgn","Jun_irrigationGrwt","Jun_IrrGrwt_km3_pgn","Jun_IrrGrwt_percent_pgn","Jul_irrigationGrwt","Jul_IrrGrwt_km3_pgn","Jul_IrrGrwt_percent_pgn","Aug_irrigationGrwt","Aug_IrrGrwt_km3_pgn","Aug_IrrGrwt_percent_pgn","Sep_irrigationGrwt","Sep_IrrGrwt_km3_pgn","Sep_IrrGrwt_percent_pgn","Oct_irrigationGrwt","Oct_IrrGrwt_km3_pgn","Oct_IrrGrwt_percent_pgn","Nov_irrigationGrwt","Nov_IrrGrwt_km3_pgn","Nov_IrrGrwt_percent_pgn","Dec_irrigationGrwt","Dec_IrrGrwt_km3_pgn","Dec_IrrGrwt_percent_pgn","Jan_irrigationGrwt_stdev","Jan_IrrGrwt_km3_pgn_stdev","Jan_IrrGrwt_percent_pgn_stdev","Feb_irrigationGrwt_stdev","Feb_IrrGrwt_km3_pgn_stdev","Feb_IrrGrwt_percent_pgn_stdev","Mar_irrigationGrwt_stdev","Mar_IrrGrwt_km3_pgn_stdev","Mar_IrrGrwt_percent_pgn_stdev","Apr_irrigationGrwt_stdev","Apr_IrrGrwt_km3_pgn_stdev","Apr_IrrGrwt_percent_pgn_stdev","May_irrigationGrwt_stdev","May_IrrGrwt_km3_pgn_stdev","May_IrrGrwt_percent_pgn_stdev","Jun_irrigationGrwt_stdev","Jun_IrrGrwt_km3_pgn_stdev","Jun_IrrGrwt_percent_pgn_stdev","Jul_irrigationGrwt_stdev","Jul_IrrGrwt_km3_pgn_stdev","Jul_IrrGrwt_percent_pgn_stdev","Aug_irrigationGrwt_stdev","Aug_IrrGrwt_km3_pgn_stdev","Aug_IrrGrwt_percent_pgn_stdev","Sep_irrigationGrwt_stdev","Sep_IrrGrwt_km3_pgn_stdev","Sep_IrrGrwt_percent_pgn_stdev","Oct_irrigationGrwt_stdev","Oct_IrrGrwt_km3_pgn_stdev","Oct_IrrGrwt_percent_pgn_stdev","Nov_irrigationGrwt_stdev","Nov_IrrGrwt_km3_pgn_stdev","Nov_IrrGrwt_percent_pgn_stdev","Dec_irrigationGrwt_stdev","Dec_IrrGrwt_km3_pgn_stdev","Dec_IrrGrwt_percent_pgn_stdev"
"Ganges",11.5162162727197,0.0284644131484251,0.24630287678635,15.0199733915375,0.0219446097864104,0.150443062862109,11.1964943365948,0.0140379175211366,0.124763990764022,14.8486123550806,0.0195807937068457,0.13133550180073,14.5432557978937,0.0678950728005881,0.472325457274391,10.0567844625917,0.301397879127914,3.08617346112653,6.03150798273887,0.133370752616377,2.11736216855124,9.02052285660949,0.130375222465408,1.38737915864064,14.8020805489846,0.120858309434573,0.784596926664851,9.52482983789282,0.0806786513368943,0.823841739120282,11.1213701929612,0.0296118792212665,0.277416720748727,NA,NA,NA,0.967118799757809,0.019456472568854,0.161462949578486,2.25851434200965,0.0164219110220118,0.116763471955332,1.5823759364458,0.0145703497223132,0.123101190841613,1.3693012115195,0.0158531943644779,0.106676111328972,1.26145532155615,0.025566055017404,0.194822279370982,1.8755575889492,0.0647784477661112,0.805864190620238,2.08300350368163,0.0743918035551885,0.636370770989441,1.5802188997918,0.0774951160844522,0.628525646805029,2.93654057188407,0.0759335291188217,0.428823595434464,2.08249829694953,0.0409127682245769,0.326253965058891,1.95376876402937,0.0124666023863008,0.134256489397535,NA,NA,NA
"Mekong",1.9438837623444,1.13784870126182e-05,0.000582475731492133,1.52204543946212,3.13711195705154e-06,0.000201288606042483,0.645069636071093,5.89811409479411e-07,9.10366141402166e-05,0.380900518668389,3.66297383332442e-07,9.4004441212236e-05,1.09586656094171,4.40600471233903e-06,0.000347977694067791,1.05142185509322,4.64369702899556e-05,0.00466192261817124,1.0747258224755,2.75908779729056e-05,0.0025823091510773,0.712058068017675,7.75242651250158e-06,0.0010163427501281,0.431276087251045,8.68412459881189e-06,0.00190480881485217,0.668369871663492,7.76610827255635e-07,0.000107388563716796,1.67417420566351,2.87464113931939e-06,0.00015755581481886,NA,NA,NA,0.124589488819631,9.32314118429538e-06,0.000476670683647018,0.171599067586419,2.02803437060108e-06,0.000119354692463194,0.126884126595516,4.3935981297078e-07,6.47707410444784e-05,0.0951154127777035,4.18808028970359e-07,0.00010901258799935,0.216911855739163,1.15734832276279e-05,0.00079578905687482,0.29864355140297,6.36019739735757e-05,0.00705639959056619,0.210286126363807,3.97272228050687e-05,0.00379199152373292,0.174135639724242,1.16576378575847e-05,0.00151293184351827,0.0824633003041022,1.71260204398128e-05,0.00392987280746802,0.140960171155354,1.18065259625928e-06,0.000165543623627526,0.370396207993008,4.44953337828825e-06,0.00024302457290497,NA,NA,NA
"Irawaddy",0.369438373321285,4.98933512171869e-09,1.23316883677845e-06,0.678714530261139,4.26146544232011e-08,5.29152473696672e-06,0.375369947018272,3.89988111888092e-08,8.89867536067508e-06,0.142389802069472,1.51072893071278e-07,9.49605362881144e-05,0.0629223418945086,7.08739025138759e-07,0.000867398763852607,0.0890490888718056,1.48512846756447e-07,0.000127452301510387,0.105883286754667,1.13037444838384e-06,0.000699958488120709,0.0109304210265966,4.51558606322257e-08,0.000198176056726571,0.00512457928685586,2.17172214439903e-09,1.841634117156e-05,0.000475122221311339,3.0649442446252e-12,NA,0.39146143815054,3.76782039998945e-09,9.30451690476194e-07,NA,NA,NA,0.133206745184668,7.02684692351523e-09,1.6881424341383e-06,0.117224762952907,1.1453045232775e-07,1.28527850766446e-05,0.0499161803787185,1.16474666065445e-07,2.42429571083476e-05,0.0407928525390861,7.73036598254638e-07,0.000483271088801944,0.0415174445630648,8.77266704046935e-07,0.000812801745716086,0.0281493039126376,3.08721807467586e-07,0.000246488260549358,0.0440091687390113,2.15596887994928e-06,0.00114267394291007,0.00736420548148153,1.39139934495797e-07,0.000524696355987274,0.00404951700694285,8.05813758412083e-09,5.22587950092507e-05,0.00103837525312397,1.55016989077259e-11,NA,0.0806161998423866,5.8345703293126e-09,1.38088379708005e-06,NA,NA,NA
"Luni_ext",0.428183123377032,0.00148415748561246,0.359929490893204,1.49767803847322,0.00264272446164412,0.175800085439946,1.74466246414267,0.0031359842788014,0.181456217820731,1.95532257369823,0.00315823402912356,0.160912323555334,1.89392250386522,0.001815902163087,0.095888477857463,1.06576069553042,0.00196887264838593,0.188247899567869,0.674370165256244,0.0048931738489965,0.713281558851756,1.48515894550372,0.0111565324398716,0.759256331068866,1.63228217888344,0.0130208749994981,0.795666746045611,0.78375823897304,0.00596638811625327,0.797770791089195,0.652797017209004,0.00267117028349203,0.40677535236622,NA,NA,NA,0.130409923779282,0.000534731938034597,0.11284251934907,0.318729963651974,0.00134840230371717,0.0763736348772572,0.283388178303964,0.001428746163347,0.077312414128344,0.226634793352376,0.00165678112777946,0.0823460525924022,0.226801886266797,0.00085718267586544,0.0440024386739472,0.121145453431248,0.000676551883100654,0.0702751293806032,0.206828554843665,0.00251926081010524,0.249507207079041,0.142289179125667,0.00409370900492836,0.274962926226117,0.24302954434685,0.00482381649850504,0.261109310892584,0.19944342774351,0.00159420056274261,0.246578710306362,0.145520097157731,0.00128032379543776,0.156442338256267,NA,NA,NA
"Indus",4.32672849865328,0.0463705714664586,1.07536844030269,4.54959642907564,0.039373140854737,0.874884247509746,7.32822684477985,0.0372547841421808,0.505558883592123,9.95620814846426,0.0362380264736309,0.362136535018396,7.98192543205568,0.0336040992762961,0.413051623538539,14.2027453450013,0.130484620862531,0.922916536338249,12.2476838731158,0.202107344096023,1.64828769067449,18.3658958049505,0.357646755318599,1.93905280507173,18.5810169093726,0.429877546890171,2.29942263441712,9.46778224414692,0.198148542958235,2.09121360330433,2.14359086591059,0.0357900710784289,1.66534630991005,NA,NA,NA,0.654592871636518,0.0125188421711807,0.250621880841716,0.994967580982739,0.0153691817246192,0.286442765315124,1.85981725797269,0.0189276664799355,0.201687329450837,1.78425364790961,0.0204870235154627,0.187981775284886,0.980852261580043,0.0187057192116518,0.212255381950251,0.882578230151372,0.0480592825740993,0.337706899813615,1.78622683614623,0.0718060548366591,0.542047895705666,1.05712013897155,0.124890113328311,0.617385899338129,1.60610998004935,0.107402936813295,0.488188783932969,0.598655689317863,0.0400061080565426,0.381590738747912,0.18958577115996,0.00838745667739552,0.333166500681861,NA,NA,NA
"Amu_Darya",0.0275834575000529,0.000294708403611049,1.01086140065625,0.0107190222511806,6.23439813909277e-05,0.567828445244026,0.00937979354953089,3.26215519719098e-05,0.255944080664912,0.0687881816656515,0.000196750462308212,0.233434994106737,0.16307524798574,0.000420536344147868,0.249258336080442,0.531639988810994,0.00358698496941991,0.673575982645304,0.753768547153173,0.00925246019862611,1.24009435455799,1.2758262904284,0.0300123613455427,2.35241427860612,0.862764412451754,0.0198370593878345,2.27990778224779,0.657191310009951,0.0132379377363907,2.01105003743803,0.10795789285732,0.00175718258677329,1.61847006901086,NA,NA,NA,0.0114615791128672,0.000197845027296223,0.316835394633882,0.00707147107572442,6.64015809010082e-05,0.439997770860698,0.00954222527085553,5.28102374259053e-05,0.242847825999873,0.0514148667690536,0.000258492808878141,0.139339612724279,0.0632274724171011,0.000257079674550958,0.0894456454267357,0.0577910853558407,0.0019135038804424,0.339997931702256,0.0680560758690597,0.0032460208449023,0.472632055189996,0.0692452796522302,0.00746333895740995,0.574788522951915,0.0650480494330338,0.0053827456215453,0.506011401267379,0.0864399713560756,0.00332434827597841,0.44004254797896,0.0403405017993264,0.000932113317381898,0.517859559122405,NA,NA,NA
"Brahmaputra",3.75282260882687,0.000380616917270966,0.00997001532082965,3.82676644365413,0.000633865481897429,0.0163654993141174,4.27652556946897,0.00202902947783327,0.0465672867240685,1.58507428450512,0.00122218778322517,0.0768197709496363,2.82745098922479,0.00479951125249582,0.168484878482891,1.3772024925261,0.00149333473012613,0.0965085409310913,2.28426838733693,0.00195849736171098,0.0781159448583435,0.920493785424817,0.000194704337668674,0.0178100874341795,0.855393903587751,7.20068114912529e-05,0.00698905366014272,1.64586545365209,0.000203544660505354,0.00958730883569432,1.22609361964234,0.000178349112853114,0.0126084950041745,NA,NA,NA,0.2373330186117,0.000200740955442175,0.00483656927483289,0.211752492914835,0.000331817815499553,0.00784805348275369,0.275346680455339,0.00097931113493891,0.0207688052821218,0.137958133072691,0.000739339301619661,0.0437916493397636,0.260739631124918,0.00301749721298506,0.10346986162116,0.472320137674551,0.00131687034779419,0.0628364562786033,0.431691564849977,0.00221216667052787,0.0812143093316368,0.40182378526801,0.000231590109401344,0.015487824920995,0.424747921286434,8.63679070910279e-05,0.00553616191552881,0.581692375302515,0.000336679803192895,0.012855263339072,0.291932185575443,0.000261209616870932,0.0169692216545118,NA,NA,NA
"Syr_Darya",0.00845530448557762,2.6681361653261e-05,0.293015959959297,0.000956866253505707,6.68542591633131e-06,0.611005315306794,0.000237197250406551,1.20325276619135e-06,NA,0.00761910795465119,2.55773731356535e-05,NA,0.0498283100001935,0.000132704067595604,0.237554149316415,0.229958804992539,0.00138838492627894,0.631622210892847,0.580760203580842,0.00560198360166657,1.03867956838562,0.799812899345197,0.0163005126496267,2.06060981622972,0.515348409663155,0.0110433515894032,2.14274425281922,0.399167863553923,0.00680255592382895,1.70190974287082,0.0236198239329747,0.000409872669782796,1.64931029133451,NA,NA,NA,0.00171465389808026,1.99593696838098e-05,0.155146823819981,0.000778720494340616,6.56927662254056e-06,0.381457264545227,0.000307065096114598,1.83566712159821e-06,NA,0.0105023981057947,3.77036385254027e-05,NA,0.0448207112844699,0.000146928670817789,0.144711482551321,0.113198518097515,0.000847515482545575,0.302182713646125,0.156965401874362,0.00175207553106409,0.451992722170129,0.113092529220885,0.00467543206480958,0.596088066598682,0.0712299805645921,0.00294136207999928,0.477423308967203,0.098949491592696,0.00222790832918186,0.364242569747439,0.0263598253717118,0.000454596200369448,0.438759639622234,NA,NA,NA
"Salween",0.030494122789805,5.85833471532246e-08,0.000206727868571981,0.0429712004706185,5.12515094564847e-08,0.00012358643762554,0.0386061208566892,2.84190282563829e-08,7.90986384429156e-05,0.0230863262032065,2.02983920993565e-07,0.00077707444744142,0.0194729439733364,3.55512430858021e-07,0.00125580759906479,0.0430495638559992,1.04821407532804e-05,0.0135345488740531,0.00439953889846829,1.48502337406011e-06,0.00942748988114702,0.00142501536489402,1.26939546934528e-07,NA,0.000900612086681211,2.68785001555334e-08,NA,0.000196308666101142,3.64182431664575e-09,NA,0.0476266371973702,7.41978736671927e-08,0.000151025005130603,NA,NA,NA,0.00897119583324744,1.81368598466197e-07,0.000616947405361676,0.0160016345302167,1.78605762691588e-07,0.000410981331626965,0.0111596424621868,9.03620501243392e-08,0.000245658426448573,0.00900590636225745,3.13975192549051e-07,0.00113979903394111,0.00927772089658896,1.35949273614463e-06,0.00438435445693889,0.0164655647781636,3.54518360261563e-05,0.0450559006474751,0.00469942753753167,5.59185409039278e-06,0.0336549121762101,0.00168856598016236,4.71211027482479e-07,NA,0.000954776558421278,1.12414078405803e-07,NA,0.000263121123833028,1.16349603039513e-08,NA,0.00607861230544818,2.4610588570636e-07,0.00048696477083629,NA,NA,NA
"Tarim",0.01631396236308,0.000101178571351299,0.647191778377351,0.0177887623135009,7.16954353315679e-05,0.402997889870978,0.0191278336994715,3.91772874272709e-05,0.173361260432207,0.0167446617158406,3.0949893866005e-05,0.152567437596911,0.964264191032391,0.00400225916695585,0.40922199722023,1.76213404641572,0.0160260226312946,0.893942177630604,2.09136046855213,0.0462402267487569,2.21390441331028,1.79993255333103,0.0389068238429258,2.15110188323871,0.857612178280579,0.0142063973532287,1.63447221436923,0.0596493623699855,0.000714099650299099,1.18858462869043,0.00850307844160654,4.81868931364191e-05,0.555930583824492,NA,NA,NA,0.00508528790023399,7.1343657519582e-05,0.520579297325647,0.00481625249213573,3.97935423146786e-05,0.185249916643597,0.0112168774787192,3.85375938514361e-05,0.0809821465852494,0.0128174919071292,3.68635148406765e-05,0.0789319626100431,0.0568723881191346,0.00174058926578088,0.155926309217454,0.167031155628552,0.00660007822799675,0.308615635038929,0.117674036645983,0.0109994362310067,0.506825435751639,0.134212065215785,0.0100660694650382,0.472715856301476,0.0687006312983216,0.00657216162021162,0.680686166766715,0.0185284403993768,0.000396132658155403,0.534318147905776,0.00568244824129636,4.31191815477623e-05,0.434106799560723,NA,NA,NA
