"irrigationGrwt","IrrGrwt_km3_pgi","IrrGrwt_percent_pgi","irrigationGrwt_stdev","IrrGrwt_mm_pgi_stdev","IrrGrwt_percent_pgi_stdev"
"Ganges",139.036647991789,1.15323435586578,0.824475020691156,6.83063511384278,0.427717264673341,0.284330776192957
"Mekong",13.3966852300529,0.000147503060248156,0.00110539573209661,1.54128875147059,0.000136702260549685,0.00111701183665
"Irawaddy",2.30865918167995,2.29269248681627e-06,9.01054300354099e-05,0.297572633118639,3.96958561350131e-06,0.00015115457211547
"Luni_ext",14.1505048905038,0.180621413016098,1.27664658545209,0.909690120958549,0.0454334648257884,0.311798000572067
"Indus",110.921310425392,5.48821472429183,4.9308408714677,5.55587935048858,1.41386957468099,1.17636667700422
"Amu_Darya",4.62798749064769,0.318060202852791,6.81822645742167,0.23207987799876,0.105294701298302,2.06577487834065
"Brahmaputra",28.7018188593546,0.0101865062202298,0.0347741256129569,1.97716167448458,0.00533746229977393,0.0168242563671728
"Syr_Darya",2.62127060014721,0.0894450094119884,3.37328860872284,0.33235761109064,0.0379306471356542,1.24751422356295
"Salween",0.256025882425904,1.26035833753253e-05,0.00390164769364876,0.0476669541184745,3.78009380915903e-05,0.0113301761728199
"Tarim",7.95186139440804,0.713960248126858,8.84533370667629,0.487832448048499,0.276074947488319,3.02508891398784
"Ili",10.9622383083148,1.0098549234341,9.16916554238872,0.436053308939742,0.271567007237039,2.27036169390603
"Inner_Tibetan_Plateau",0.0456628659304347,0.00122843792349433,2.68418249239804,0.00117074487226959,0.000912575854441022,1.98942563491682
"Yangtze",127.524433369623,0.0653865528516842,0.0495545596692077,10.0976715268685,0.0447626950551301,0.0301898503783764
"Inner_Tibetan_Plateau_extended",2.9780620028459,0.0960211261426612,3.21343258633729,0.176487909483347,0.0424329885525316,1.38121758267584
"Yellow",21.5742583382061,0.00516244726268112,0.023765151862732,1.75624376734201,0.00176855958040032,0.00745895922316708
"all_basins",487.460061508407,9.14142611209713,1.87353176212879,17.8780636697065,1.99756690528811,0.397671259194612
