"Jan_irrigationGrwt","Jan_IrrGrwt_km3_pr","Jan_IrrGrwt_percent_pr","Feb_irrigationGrwt","Feb_IrrGrwt_km3_pr","Feb_IrrGrwt_percent_pr","Mar_irrigationGrwt","Mar_IrrGrwt_km3_pr","Mar_IrrGrwt_percent_pr","Apr_irrigationGrwt","Apr_IrrGrwt_km3_pr","Apr_IrrGrwt_percent_pr","May_irrigationGrwt","May_IrrGrwt_km3_pr","May_IrrGrwt_percent_pr","Jun_irrigationGrwt","Jun_IrrGrwt_km3_pr","Jun_IrrGrwt_percent_pr","Jul_irrigationGrwt","Jul_IrrGrwt_km3_pr","Jul_IrrGrwt_percent_pr","Aug_irrigationGrwt","Aug_IrrGrwt_km3_pr","Aug_IrrGrwt_percent_pr","Sep_irrigationGrwt","Sep_IrrGrwt_km3_pr","Sep_IrrGrwt_percent_pr","Oct_irrigationGrwt","Oct_IrrGrwt_km3_pr","Oct_IrrGrwt_percent_pr","Nov_irrigationGrwt","Nov_IrrGrwt_km3_pr","Nov_IrrGrwt_percent_pr","Dec_irrigationGrwt","Dec_IrrGrwt_km3_pr","Dec_IrrGrwt_percent_pr","Jan_irrigationGrwt_stdev","Jan_IrrGrwt_km3_pr_stdev","Jan_IrrGrwt_percent_pr_stdev","Feb_irrigationGrwt_stdev","Feb_IrrGrwt_km3_pr_stdev","Feb_IrrGrwt_percent_pr_stdev","Mar_irrigationGrwt_stdev","Mar_IrrGrwt_km3_pr_stdev","Mar_IrrGrwt_percent_pr_stdev","Apr_irrigationGrwt_stdev","Apr_IrrGrwt_km3_pr_stdev","Apr_IrrGrwt_percent_pr_stdev","May_irrigationGrwt_stdev","May_IrrGrwt_km3_pr_stdev","May_IrrGrwt_percent_pr_stdev","Jun_irrigationGrwt_stdev","Jun_IrrGrwt_km3_pr_stdev","Jun_IrrGrwt_percent_pr_stdev","Jul_irrigationGrwt_stdev","Jul_IrrGrwt_km3_pr_stdev","Jul_IrrGrwt_percent_pr_stdev","Aug_irrigationGrwt_stdev","Aug_IrrGrwt_km3_pr_stdev","Aug_IrrGrwt_percent_pr_stdev","Sep_irrigationGrwt_stdev","Sep_IrrGrwt_km3_pr_stdev","Sep_IrrGrwt_percent_pr_stdev","Oct_irrigationGrwt_stdev","Oct_IrrGrwt_km3_pr_stdev","Oct_IrrGrwt_percent_pr_stdev","Nov_irrigationGrwt_stdev","Nov_IrrGrwt_km3_pr_stdev","Nov_IrrGrwt_percent_pr_stdev","Dec_irrigationGrwt_stdev","Dec_IrrGrwt_km3_pr_stdev","Dec_IrrGrwt_percent_pr_stdev"
"Ganges",11.4945311818619,10.2271390505118,89.5412562589613,14.5041292852685,11.4608752406312,79.1225047527264,11.7688802732126,8.62159630287013,73.2690160927349,14.5353705174213,10.0549629752444,69.7074170393385,15.8758510587337,8.52183492748165,53.869963450321,12.9081781369603,5.03220041528027,41.0791382132967,6.67384270460933,3.86603933595982,58.433629025012,9.59556701862342,7.75917494822556,80.4916064801534,15.7557998988406,14.0050556658586,89.0722580877954,8.89930142365095,8.01712642042629,90.3562524560544,10.4269315789153,9.85348990159326,94.3002056562846,NA,NA,NA,1.30425487124918,0.549986641885073,6.83685242073113,1.01221003545978,2.21018562622545,14.9307501178029,0.972493439384974,1.82877525256082,14.4163136943334,1.10638918780679,1.1540549374464,11.0637753696421,1.23863488250749,1.51053340112264,9.64428788420812,3.88058927453736,0.681490947780134,9.90772706995559,1.48251146984274,1.29517055810965,13.4965897258009,1.16547601766123,1.37846744855243,7.37288645693323,2.77602736607206,2.29858438486137,3.06821330790981,2.62455919201018,2.25570446409979,3.16875045277284,1.44311904075839,1.57240961463296,2.88523686205631,NA,NA,NA
"Mekong",1.97023839381419,1.9641462576037,99.7060157710628,1.55770415637228,1.55218559898251,99.6626813465342,0.625251187289307,0.624052472014473,99.8145127368396,0.436766652508549,0.435979870612371,99.8161428836848,1.21247569640308,1.21031889572235,99.8141903814313,1.07026796512672,1.05819343270014,98.8211529819867,1.02413082803914,1.01085797467907,98.8883069682401,0.616262287324115,0.6143677250024,99.706559826094,0.452821895924595,0.451882980048738,99.8118577841948,0.658161263775166,0.658070839013915,99.9868596750106,1.70352700847555,1.70318216010377,99.9817235424687,NA,NA,NA,0.192529548877344,0.188325958688732,0.249430038260333,0.139253059055264,0.135340857662038,0.311358085267846,0.0590927048539004,0.0584978161187936,0.131455369050414,0.128009788243436,0.127816194256953,0.068424858510931,0.235006563389713,0.235200223680041,0.0822864843402268,0.300751224426174,0.30006617336893,0.921578321375042,0.270127651689704,0.258784960503976,1.39726974186782,0.21420358608199,0.213196830085987,0.284034751406363,0.161876197684869,0.161393037718717,0.260130652381254,0.0715759279829397,0.071524465990101,0.0128206107229948,0.474220799160016,0.473981768591082,0.0126487913636599,NA,NA,NA
"Irawaddy",0.45600096021455,0.455993265034257,99.9987848725745,0.711827778839116,0.711740507577268,99.9887452210571,0.362962422579343,0.362868971089276,99.9748526252327,0.132826917221436,0.13273567235727,99.9317431531586,0.0488114192839704,0.0486846872091318,99.7496321793234,0.0742665417006139,0.0742505243155955,99.9887137711502,0.160998518963967,0.160917075607804,99.9667380104043,0.0102887499263504,0.0102848204925143,99.9729021866399,0.00573326661162277,0.00573323989114805,99.9996074228726,0.000136463047639257,0.000136461175152647,NA,0.383214535075926,0.383213836613421,99.9998419693574,NA,NA,NA,0.187273777699799,0.187264402360269,0.00149457760094621,0.0928529515687706,0.0927732461025884,0.0119089505354922,0.0480428647373546,0.0480123316680588,0.0189434098640552,0.0326482788916725,0.0326403235939367,0.0622315421759386,0.0261828238187596,0.0261378023372277,0.207529184096467,0.0528287660257814,0.0528013573418424,0.0208911169184691,0.0859020103256763,0.0858000450601126,0.0495310672892182,0.00452733194289129,0.00452286041922098,0.0428815299136213,0.00199678217978686,0.00199675499691953,0.0004293182939671,0.000160649201557186,0.000160646537658258,NA,0.098978869219538,0.0989782154166276,0.000115936548022918,NA,NA,NA
"Luni_ext",0.368803404684473,0.201419195271229,61.4068690927853,1.3207544757118,0.817585532551397,61.3415220936991,1.6899860882139,1.11183590024433,66.688105825821,1.85879334506101,1.21959811315914,65.8605714529815,1.89478475551992,0.911824459498675,48.4429234342614,1.07777082394991,0.470501723882704,44.3591101554981,0.651168811024429,0.347660401014738,56.1612345519364,1.48964552942558,1.00868496588402,67.5763556679674,1.71275148152878,1.24726068310099,72.7211901139624,0.714677423789048,0.514223579730959,71.3893440955829,0.665964915299191,0.45737283987651,70.039434951027,NA,NA,NA,0.208307579506977,0.0631368560112251,15.1799517216737,0.105850891876535,0.234540165464433,14.4951283840852,0.285824837761723,0.172597271392359,10.0481666060483,0.246264469162139,0.155239104326569,5.64075373381492,0.217262735565636,0.114803154610142,6.24976114438268,0.255104996239849,0.0822973640557853,5.10354159527384,0.213525011176298,0.0898231083813043,17.8422175440582,0.135104830667732,0.198844601484575,10.653073599819,0.300640377514445,0.292576617533998,9.77262940533675,0.0980667450829606,0.14730075974048,14.2744160960035,0.140103273871735,0.111603650982025,15.7748483392327,NA,NA,NA
"Indus",4.02250186838375,3.00815676301507,75.4836462136753,4.3529492207545,3.30007487854802,75.9311592107581,7.13747761123602,5.72586565019468,80.302351706836,9.66832080811648,7.96480236681098,82.5809200942035,7.98083439818983,5.86816539657057,73.9103716588975,14.5802431800003,8.40071724859799,57.8818365771364,12.0311674387232,6.18830634054403,51.9580010348906,18.6004476162291,12.1106598704223,65.1625949797097,19.2330876265887,12.5786710248872,65.4954297165993,9.3872217024167,6.33904958804757,67.5325819070726,2.13261838355929,1.58514557170905,74.5219253040571,NA,NA,NA,0.890318543042328,0.526908576984707,5.11778419242868,0.494216817895778,0.377292283017948,4.13261095916709,0.930655868738871,0.705957328785266,1.70103549186863,2.00682047261266,1.54977682276648,2.08053615142885,0.890682087949967,0.493263884397805,5.96501882306223,1.45535532757722,0.845240236161523,6.13471154487975,1.67175808331288,0.755577210936909,7.37624664415176,1.21150744201839,1.29083848130489,6.02976367768771,1.6809541839928,1.08107193978793,3.5156852429522,0.465415196271728,0.515875468625194,4.26596456260788,0.280040036966905,0.188746595088964,4.80207964770617,NA,NA,NA
"Amu_Darya",0.0257071805003495,0.0149522631260357,58.9900488876535,0.0108765843235518,0.00584104614589495,53.2183412788105,0.0115761159405802,0.00772136359842849,60.9766215274468,0.0560198669262975,0.0399429110259855,70.3867927481736,0.124776551122517,0.0958561197588866,76.8236935596301,0.543585840762638,0.345257513751438,63.5934655920337,0.75975009774736,0.379080266361784,49.8668945639525,1.27227293352692,0.50733764870357,39.9393175686821,0.822162131550432,0.323082539329019,39.2580715412395,0.617925362074169,0.254270314767845,41.2139509279151,0.108566187984969,0.0459151735844599,41.9518325336532,NA,NA,NA,0.00364584938476633,0.000339170908384356,7.03053870173772,0.00683854065453941,0.00414136599551584,13.1674149962936,0.0074838310221674,0.00607565758097753,11.979310787943,0.0376910405085356,0.0287010413335675,4.86059230497006,0.0371787066535868,0.0296379582699217,6.20632830359751,0.0449507428688291,0.0410886534467531,6.59469323710403,0.0831134167599806,0.0617464409417918,5.18521856379765,0.0925570126770954,0.0540337442209403,3.75927964136096,0.0693203772093567,0.0413213819740421,3.28204577198382,0.0640337560483295,0.0257490311097906,2.27040759235254,0.0447964948550448,0.0193502785665223,4.09313950554503,NA,NA,NA
"Brahmaputra",4.04118266356443,3.92543279997181,97.1978443610083,3.89443358787613,3.68856471906856,94.7018780819857,4.42782012685677,4.14372084330962,93.6325162262812,1.62180198198076,1.51461921425235,93.3432202130498,2.98093972623915,2.8670552111906,96.2434237580307,1.96107793656039,1.87492723573504,96.3668737006268,2.39575790439304,2.33534139033882,97.2605770944308,0.806745129224398,0.793834572775633,99.1226076884671,0.959505646657547,0.954119078521902,99.5891978463033,1.59998009737079,1.59431364579598,99.7124415915391,1.14679895112557,1.1399317868486,99.456167750163,NA,NA,NA,0.315755896148725,0.272054414212712,1.0570578806093,0.181279024071151,0.194653287237143,1.59002169641562,0.202182126552369,0.145619953364758,1.9372631758936,0.0727686436390623,0.0914568100189208,1.87192101598084,0.295907615831175,0.265363186108906,1.64788485313563,1.12869837042491,1.0501296909141,1.74630056130932,1.33632762679408,1.32243939157908,2.38048617887097,0.614581505154924,0.591629161901091,1.16119404749541,0.614207540469993,0.606419944834534,0.41799228896854,0.468327575420975,0.461516513509463,0.384174691804562,0.225553913087637,0.220366171458169,0.593224735630704,NA,NA,NA
"Syr_Darya",0.0132560281017321,0.00742768206089472,50.4874158090023,0.0021973639304349,0.00153684679321042,72.1760597001769,0.000932928052045923,0.00062059440206097,NA,0.00414536536983512,0.00267312271420443,67.9847530967395,0.0237854014181309,0.0170428896273959,72.1210205793474,0.237899425591914,0.180679606369232,75.173589043175,0.640249081304587,0.49164032789683,76.1201579841096,0.842590474674518,0.53376395027758,63.4652897739347,0.554818633450578,0.337778003216391,60.9897226856222,0.37707094997022,0.245985335426414,65.3335053968917,0.0269742475691276,0.0176626353279599,72.0990376087187,NA,NA,NA,0.00921248676550905,0.00644550027591889,10.4024362965045,0.001655710369675,0.00108630539502379,6.08270390710536,0.00087377994935277,0.000605447335581097,NA,0.00618765637068878,0.00384335275175452,4.49571565627514,0.0176049667260632,0.012483692177513,2.21952835505116,0.0559025483776231,0.0521946081161185,5.35442295278536,0.170156751868938,0.15512637603646,4.03732525282239,0.0859187277505726,0.0497055657625818,3.4899505823666,0.0686525835780111,0.0423194971890443,3.77893845339365,0.0518757083319907,0.0326033401609551,3.91553628668959,0.0329428702490901,0.0205027907689349,6.81282462590145,NA,NA,NA
"Salween",0.028318722707894,0.0283171317870767,99.9954545586109,0.0380006822657168,0.0379987852333308,99.9962873506763,0.040429493171431,0.0404226367506867,99.9874837652188,0.0250073577457646,0.024999287643809,99.9685633087911,0.02090244805284,0.0205450067110598,98.1178116727302,0.0406913013870867,0.0403423832343055,99.5535557349738,0.00349517214432993,0.00348191037632617,99.7868406319682,0.00035133365580009,0.000351244396644764,99.9789577812858,0.00029857029392133,0.000298527425608578,99.9895836898207,2.34835030710201e-05,2.34754546113436e-05,NA,0.0448574524161563,0.0448547549609691,99.9951493000195,NA,NA,NA,0.00864973855751725,0.00864822882947077,0.0106390881699603,0.0162830893987588,0.0162812249344275,0.00874027246284347,0.0114022657520744,0.011391776473358,0.0241927748056056,0.00645392406649333,0.00645283166547267,0.0346922903999344,0.00652643110597041,0.00662366127716981,2.48916730443563,0.0229091551978406,0.0222181573195587,1.02483056324356,0.00251350778466261,0.00249636658259092,0.498491573581687,0.000289948744954114,0.000289915097894848,0.047391981165356,0.000151980774197199,0.000151942346524541,0.0253718087823368,3.08395113016784e-05,3.08210048684335e-05,NA,0.00790803498158523,0.00790355051372555,0.0102714511421447,NA,NA,NA
"Tarim",0.0183485166186175,0.0109094979704593,59.6381147093862,0.0167212183801424,0.0101963643031773,61.6704001846805,0.0151372633436482,0.0082074232751136,54.2195770100629,0.0131563568047113,0.00952912262831823,72.0821313021177,0.972652335887659,0.535438558261766,55.4145029287762,1.63438188272355,0.894126030061956,54.7657660875464,2.03998423236016,0.955925431819403,46.8951237214951,1.74077510936328,0.875422700032463,50.45918320531,0.833727649909219,0.475287658375743,57.0457092793825,0.0728644538764032,0.0482280624416629,66.8499463875024,0.0113554987887608,0.00704873106868279,63.04475992045,NA,NA,NA,0.00300009764169939,0.00153010591847125,2.00200656271427,0.00314811084214038,0.0012710776485249,5.74481846639542,0.00132682439148997,0.0016120506538917,9.38895708906944,0.00911536723115389,0.00671687430884596,3.57536420304558,0.0466240720002765,0.0789685520576818,10.0227690295979,0.0558626540119865,0.0648999011213252,4.48577388006238,0.0370795675837382,0.084876277664233,4.54207917855129,0.0785723716234919,0.0599480305630651,5.12502954834781,0.0269793296137227,0.0548717561581575,6.73440429079698,0.0240291084605465,0.0141452452267126,4.64361603151245,0.00647246786566548,0.00374325488494624,4.99486097747096,NA,NA,NA
