"irrigationGrwt","IrrGrwt_km3_pgn","IrrGrwt_percent_pgn","irrigationGrwt_stdev","IrrGrwt_mm_pgn_stdev","IrrGrwt_percent_pgn_stdev"
"Ganges",139.036647991789,0.977194118816995,0.699694600107846,6.83063511384278,0.269183646082589,0.176221469948953
"Mekong",13.3966852300529,0.000131756039713242,0.000975966458730569,1.54128875147059,0.000111323405843813,0.000858218531541727
"Irawaddy",2.30865918167995,2.27341468671387e-06,9.0900718612382e-05,0.297572633118639,3.11400681439726e-06,0.000118146623814843
"Luni_ext",14.1505048905038,0.0530262692205012,0.374851741400513,0.909690120958549,0.0119494729515833,0.0807306747909726
"Indus",110.921310425392,1.57431844799794,1.41361182812682,5.55587935048858,0.365336745060494,0.29130305624418
"Amu_Darya",4.62798749064769,0.0813314811467973,1.7491215774023,0.23207987799876,0.0213796279300603,0.407130357690685
"Brahmaputra",28.7018188593546,0.0136443808673251,0.0468268141412701,1.97716167448458,0.00646829528702425,0.0207953877068474
"Syr_Darya",2.62127060014721,0.0418635836325639,1.61743386497736,0.33235761109064,0.0106040474223715,0.430164816180335
"Salween",0.256025882425904,1.26509172728116e-05,0.00388662059646025,0.0476669541184745,4.03624346402007e-05,0.0118141494951532
"Tarim",7.95186139440804,0.125399587165236,1.56500613319751,0.487832448048499,0.0315190680108963,0.312884887614961
"Ili",10.9622383083148,0.138778548734388,1.26428472688328,0.436053308939742,0.0360158700167388,0.314578005258578
"Inner_Tibetan_Plateau",0.0456628659304347,0.000184103547910885,0.403879294332334,0.00117074487226959,0.000138993305930941,0.308211998768414
"Yangtze",127.524433369623,0.04983242096348,0.0378196840297183,10.0976715268685,0.0308706101237689,0.0206274517369375
"Inner_Tibetan_Plateau_extended",2.9780620028459,0.0168896306883869,0.571270558405061,0.176487909483347,0.00760114794775541,0.258651597212961
"Yellow",21.5742583382061,0.00151962840287586,0.00702095799012343,1.75624376734201,0.000603249478469068,0.00267001782045533
"all_basins",487.057426831322,3.07412888155607,0.630758040112163,17.8808538135685,0.55155532080838,0.109148774579921
