"irrigationGrwt","IrrGrwt_km3_ps","IrrGrwt_percent_ps","irrigationGrwt_stdev","IrrGrwt_mm_ps_stdev","IrrGrwt_percent_ps_stdev"
"Ganges",139.036648002446,7.06571627029521,5.08874483932757,6.83063511462263,1.58681056223639,1.12157077483366
"Mekong",13.396685235925,0.0266358484540603,0.194969651355553,1.54128875198797,0.0148142322119134,0.0985977625889142
"Irawaddy",2.30865917952191,0.00065454537798767,0.0262231299399534,0.297572634049163,0.000655345665104177,0.0239867382933972
"Luni_ext",14.1505048929341,1.10101392009151,7.79796088317326,0.909690125673458,0.150372905381621,1.06749974930724
"Indus",110.921310419614,27.3290793175838,24.6278735869046,5.55587934247089,3.95313749437439,3.20402273654696
"Amu_Darya",4.62798749103725,1.34612476073897,29.1433813786493,0.23207987849851,0.160247520925974,3.61208968023183
"Brahmaputra",28.7018188608628,0.52517070620535,1.81464144939701,1.97716166193111,0.225980062382195,0.735655331737865
"Syr_Darya",2.62127060020133,0.656156584366822,24.8663559022792,0.332357611856107,0.157572149035723,4.08089809246592
"Salween",0.256025882150261,0.000526637506709918,0.166726357675687,0.0476669539981645,0.00135300523084543,0.397835742848887
"Tarim",7.9518613931882,2.81405944854357,35.2939264857367,0.487832448287916,0.381839906937196,3.51220214385612
"Ili",10.9622383084327,2.16585542017607,19.7743415455962,0.436053307586755,0.449720146489841,4.10842586300662
"Inner_Tibetan_Plateau",0.0456628659771174,0.0198934336570777,43.5829772114655,0.00117074471057542,0.0030402803411313,6.68896758409868
"Yangtze",127.524433364078,2.67375953247076,2.06264322737323,10.0976715401581,0.992824384742208,0.639834993331958
"Inner_Tibetan_Plateau_extended",2.97806200356717,0.844181659730513,28.2893845768642,0.176487909411054,0.180839794538725,5.4874620569145
"Yellow",21.5742583376434,3.35545966266247,15.6036159236811,1.75624377287452,0.582661161212385,2.69988602724732
"all_basins",487.057426837579,49.9242877478609,10.2545700426566,17.8808538385895,4.90513394046683,0.971370993577108
