"Jan_irrigationGrwt","Jan_IrrGrwt_km3_pr","Jan_IrrGrwt_percent_pr","Feb_irrigationGrwt","Feb_IrrGrwt_km3_pr","Feb_IrrGrwt_percent_pr","Mar_irrigationGrwt","Mar_IrrGrwt_km3_pr","Mar_IrrGrwt_percent_pr","Apr_irrigationGrwt","Apr_IrrGrwt_km3_pr","Apr_IrrGrwt_percent_pr","May_irrigationGrwt","May_IrrGrwt_km3_pr","May_IrrGrwt_percent_pr","Jun_irrigationGrwt","Jun_IrrGrwt_km3_pr","Jun_IrrGrwt_percent_pr","Jul_irrigationGrwt","Jul_IrrGrwt_km3_pr","Jul_IrrGrwt_percent_pr","Aug_irrigationGrwt","Aug_IrrGrwt_km3_pr","Aug_IrrGrwt_percent_pr","Sep_irrigationGrwt","Sep_IrrGrwt_km3_pr","Sep_IrrGrwt_percent_pr","Oct_irrigationGrwt","Oct_IrrGrwt_km3_pr","Oct_IrrGrwt_percent_pr","Nov_irrigationGrwt","Nov_IrrGrwt_km3_pr","Nov_IrrGrwt_percent_pr","Dec_irrigationGrwt","Dec_IrrGrwt_km3_pr","Dec_IrrGrwt_percent_pr","Jan_irrigationGrwt_stdev","Jan_IrrGrwt_km3_pr_stdev","Jan_IrrGrwt_percent_pr_stdev","Feb_irrigationGrwt_stdev","Feb_IrrGrwt_km3_pr_stdev","Feb_IrrGrwt_percent_pr_stdev","Mar_irrigationGrwt_stdev","Mar_IrrGrwt_km3_pr_stdev","Mar_IrrGrwt_percent_pr_stdev","Apr_irrigationGrwt_stdev","Apr_IrrGrwt_km3_pr_stdev","Apr_IrrGrwt_percent_pr_stdev","May_irrigationGrwt_stdev","May_IrrGrwt_km3_pr_stdev","May_IrrGrwt_percent_pr_stdev","Jun_irrigationGrwt_stdev","Jun_IrrGrwt_km3_pr_stdev","Jun_IrrGrwt_percent_pr_stdev","Jul_irrigationGrwt_stdev","Jul_IrrGrwt_km3_pr_stdev","Jul_IrrGrwt_percent_pr_stdev","Aug_irrigationGrwt_stdev","Aug_IrrGrwt_km3_pr_stdev","Aug_IrrGrwt_percent_pr_stdev","Sep_irrigationGrwt_stdev","Sep_IrrGrwt_km3_pr_stdev","Sep_IrrGrwt_percent_pr_stdev","Oct_irrigationGrwt_stdev","Oct_IrrGrwt_km3_pr_stdev","Oct_IrrGrwt_percent_pr_stdev","Nov_irrigationGrwt_stdev","Nov_IrrGrwt_km3_pr_stdev","Nov_IrrGrwt_percent_pr_stdev","Dec_irrigationGrwt_stdev","Dec_IrrGrwt_km3_pr_stdev","Dec_IrrGrwt_percent_pr_stdev"
"Ganges",11.5162162727197,9.85818155696774,85.8303849433441,15.0199733915375,10.8972865033372,73.4956849188738,11.1964943365948,7.1982330754743,65.02583808679,14.8486123550806,8.53972454645823,58.2880987458922,14.5432557978937,6.47289274562394,44.7282885018979,10.0567844625917,4.2791138235567,43.737644077662,6.03150798273887,3.88705514635659,67.6511022178473,9.02052285660949,7.22453956231442,80.5059597937901,14.8020805489846,13.0075786005706,88.1080449957877,9.52482983789282,8.53376623224414,89.7465637149303,11.1213701929612,10.4606896789667,93.7376271721892,NA,NA,NA,0.967118799757809,0.804846639010838,5.90746914218739,2.25851434200965,1.73523795000487,11.8029049365558,1.5823759364458,1.65776819542764,15.2155076047744,1.3693012115195,1.60304238214007,13.3113780237617,1.26145532155615,1.10757032790055,7.8061009204743,1.8755575889492,0.513667388479408,8.27680884668053,2.08300350368163,0.766117745605854,11.5295555548983,1.5802188997918,1.13707205663251,5.31125087617559,2.93654057188407,2.49903289966483,3.92469741747252,2.08249829694953,1.83362214185917,3.06777773986323,1.95376876402937,2.04914436063944,2.74238865952956,NA,NA,NA
"Mekong",1.9438837623444,1.93798281058348,99.7101309546711,1.52204543946212,1.51305141850956,99.4566959544867,0.645069636071093,0.643262749334828,99.7288705964888,0.380900518668389,0.378103863113001,99.4020575324996,1.09586656094171,1.07936230719724,98.7972432110802,1.05142185509322,1.03658204964472,98.7666577076304,1.0747258224755,1.05701489150526,98.5477642198226,0.712058068017675,0.709490367950869,99.6936552574888,0.431276087251045,0.430764108886971,99.8910021725848,0.668369871663492,0.668297948998449,99.9900610266126,1.67417420566351,1.67370780062574,99.9747229531505,NA,NA,NA,0.124589488819631,0.120386930788939,0.618517987207942,0.171599067586419,0.164439101225837,1.12711233855916,0.126884126595516,0.126226669236166,0.300613419979939,0.0951154127777035,0.0917400769943944,1.07853334705372,0.216911855739163,0.196662857771006,2.94891424015135,0.29864355140297,0.286605026459742,1.35574989746799,0.210286126363807,0.196041782124212,2.17306154958044,0.174135639724242,0.171729845258839,0.381917583369996,0.0824633003041022,0.0821386829325998,0.151089497393924,0.140960171155354,0.140911581524658,0.00967474965833289,0.370396207993008,0.370056874937652,0.0431216243118168,NA,NA,NA
"Irawaddy",0.369438373321285,0.369412812360853,99.9951024923801,0.678714530261139,0.678659794459609,99.9925995308911,0.375369947018272,0.37529995965117,99.9814555067969,0.142389802069472,0.142260790205836,99.9160223454788,0.0629223418945086,0.0627375105931237,99.7627682878488,0.0890490888718056,0.089031086017466,99.9847657907199,0.105883286754667,0.105708614460321,99.8951387059538,0.0109304210265966,0.0109236327120648,99.96709670192,0.00512457928685586,0.0051243609807198,99.9979466980767,0.000475122221311339,0.000475121667175959,NA,0.39146143815054,0.391460725571048,99.9998198693157,NA,NA,NA,0.133206745184668,0.13317565032988,0.0161562338836755,0.117224762952907,0.117191380328845,0.00966754101361786,0.0499161803787185,0.0499004803967264,0.016537351699117,0.0407928525390861,0.0407317885311772,0.0791299000886188,0.0415174445630648,0.0413466909382669,0.168028913301507,0.0281493039126376,0.0281267941194575,0.0288962424556735,0.0440091687390113,0.0437137266106859,0.180416791001805,0.00736420548148153,0.00735151676929077,0.0896942395180871,0.00404951700694285,0.00404910848935509,0.00532639044813029,0.00103837525312397,0.00103837511406891,NA,0.0806161998423866,0.0806160185572505,0.000172350710991574,NA,NA,NA
"Luni_ext",0.428183123377032,0.17328580745584,42.6413927510669,1.49767803847322,0.566051473853608,39.2424561207413,1.74466246414267,0.794378909930553,45.7677189138664,1.95532257369823,0.838664260908712,43.4472246158061,1.89392250386522,0.522509260045066,27.9893100876747,1.06576069553042,0.375563028179487,35.4832488645888,0.674370165256244,0.316936369775203,49.288108879435,1.48515894550372,0.917079200547119,61.5484288938154,1.63228217888344,1.07785057952443,66.4063642761624,0.78375823897304,0.543104831270522,67.2604002435367,0.652797017209004,0.41342120992107,63.7778357889009,NA,NA,NA,0.130409923779282,0.0631263369928399,15.7727904326379,0.318729963651974,0.207852671858755,15.5547645210966,0.283388178303964,0.282191274108012,15.0647708052793,0.226634793352376,0.223091479616134,12.3772303067269,0.226801886266797,0.155505247741709,9.05548348760548,0.121145453431248,0.0577042798724064,5.38385001082577,0.206828554843665,0.0517844561260659,11.0417480070967,0.142289179125667,0.222265053941775,12.6199054945628,0.24302954434685,0.279443902130146,14.8716718460403,0.19944342774351,0.252839624928686,16.8850923821922,0.145520097157731,0.150755889594905,17.7197225583639,NA,NA,NA
"Indus",4.32672849865328,3.05646760844732,71.3441928002228,4.54959642907564,3.09059649256065,68.6809490393532,7.32822684477985,5.35357872855968,74.1611339797994,9.95620814846426,7.62919232526479,77.0508677724391,7.98192543205568,5.54498826897199,70.0175641037971,14.2027453450013,7.99891440296491,56.4602255903447,12.2476838731158,5.99636190659604,49.5608502007742,18.3658958049505,11.5538744429964,63.1075255232314,18.5810169093726,11.920178246329,64.4461061837431,9.46778224414692,6.41970844849115,67.7517469816794,2.14359086591059,1.57028344389179,73.2647159064545,NA,NA,NA,0.654592871636518,0.378423094511214,7.69007436874448,0.994967580982739,0.683337083573158,9.54024530304587,1.85981725797269,1.16546277943257,8.70348049802762,1.78425364790961,1.33986875405478,7.4643304633941,0.980852261580043,0.59798149144591,7.37293236484394,0.882578230151372,0.754099890365879,5.6334620468577,1.78622683614623,0.583015725423499,5.93056731243591,1.05712013897155,1.50647927295557,8.84879613598229,1.60610998004935,1.25764753282542,7.25059729720416,0.598655689317863,0.869791630095328,7.31923605476492,0.18958577115996,0.205320176332228,6.78982880222051,NA,NA,NA
"Amu_Darya",0.0275834575000529,0.0160562343939242,59.8078316250211,0.0107190222511806,0.00585691912603799,57.4707510015335,0.00937979354953089,0.00516656252328532,59.3137046907446,0.0687881816656515,0.0426480655042357,65.0676182785591,0.16307524798574,0.117788247061967,73.0175871599154,0.531639988810994,0.320231844725129,60.2794756397601,0.753768547153173,0.361849594031228,47.880251352338,1.2758262904284,0.489001964966365,38.3784405823564,0.862764412451754,0.331162351327505,38.4309138446154,0.657191310009951,0.269827246244255,40.9386341537712,0.10795789285732,0.0443814208955365,40.3155198128275,NA,NA,NA,0.0114615791128672,0.00539327126124118,6.69731420772502,0.00707147107572442,0.00369399735293302,12.7662463617137,0.00954222527085553,0.00441593409034863,12.9409496343001,0.0514148667690536,0.0275182872084475,7.69515508913725,0.0632274724171011,0.0454937622774208,8.03455900367428,0.0577910853558407,0.0634074752995277,9.79924646746141,0.0680560758690597,0.080124303780171,8.80720499599193,0.0692452796522302,0.0775218626476389,5.92813063923788,0.0650480494330338,0.0477442893495082,5.14399960286958,0.0864399713560756,0.0541313528227645,5.37092988902771,0.0403405017993264,0.0202636950302974,5.75781842960308,NA,NA,NA
"Brahmaputra",3.75282260882687,3.66933761478403,97.8525287619209,3.82676644365413,3.72034807530113,97.235515282601,4.27652556946897,4.0860620862255,95.6148024472618,1.58507428450512,1.50390040609993,94.8855534423206,2.82745098922479,2.70809007359782,95.8130619939157,1.3772024925261,1.3465883120578,97.9672512896934,2.28426838733693,2.25928524485274,98.9804533216655,0.920493785424817,0.918074394776165,99.7620336588632,0.855393903587751,0.8544814498727,99.9057807753261,1.64586545365209,1.64351716486746,99.8823207800503,1.22609361964234,1.22310852634575,99.787626790839,NA,NA,NA,0.2373330186117,0.197709570299433,2.30845366253151,0.211752492914835,0.20173989706268,1.43277406580311,0.275346680455339,0.223668742624087,1.65176495834578,0.137958133072691,0.133503027594702,2.00277452890922,0.260739631124918,0.246241285335596,1.99306660809827,0.472320137674551,0.453420987341622,1.05073032555686,0.431691564849977,0.418256368004659,0.770269910769805,0.40182378526801,0.400149460976883,0.138077505722955,0.424747921286434,0.423977661247487,0.0491254738744308,0.581692375302515,0.57946393888665,0.12571562831527,0.291932185575443,0.289597785291623,0.264947919915168,NA,NA,NA
"Syr_Darya",0.00845530448557762,0.00435831747757159,50.6874420039838,0.000956866253505707,0.000762494042649428,79.5989763066694,0.000237197250406551,0.000183072837998147,NA,0.00761910795465119,0.00533433275741887,NA,0.0498283100001935,0.0362339353404538,70.3200502623851,0.229958804992539,0.169760471531256,73.3723105406164,0.580760203580842,0.436205624667027,74.5653078842666,0.799812899345197,0.533679760731731,66.9631457953444,0.515348409663155,0.341115374661524,66.3242380823984,0.399167863553923,0.279941378060024,70.3176953347857,0.0236198239329747,0.0169314593715942,72.3135046354838,NA,NA,NA,0.00171465389808026,0.00137776029885594,6.07676691175952,0.000778720494340616,0.000623299865085547,5.61935022706148,0.000307065096114598,0.000245286863213869,NA,0.0105023981057947,0.00726725694343107,NA,0.0448207112844699,0.0351262575863556,8.28782048023307,0.113198518097515,0.0906499908064947,6.2852861816273,0.156965401874362,0.132731197986391,5.51054732019014,0.113092529220885,0.0781726041179448,6.01860979763673,0.0712299805645921,0.0501582424051425,5.65757795786704,0.098949491592696,0.0700067185087756,5.09012290754739,0.0263598253717118,0.0185981215342221,6.20549929251165,NA,NA,NA
"Salween",0.030494122789805,0.0304920391068937,99.9932204965033,0.0429712004706185,0.0429601625808277,99.9810865170065,0.0386061208566892,0.0385955405726242,99.9721170035349,0.0230863262032065,0.0230683754510137,99.9299062535499,0.0194729439733364,0.0194285349577517,99.7943246752624,0.0430495638559992,0.0426346744111485,99.4467562426469,0.00439953889846829,0.00434550620151807,99.6458468024922,0.00142501536489402,0.00142174811566519,NA,0.000900612086681211,0.000899992061328829,NA,0.000196308666101142,0.000196201234413092,NA,0.0476266371973702,0.0476234243624324,99.9932919589698,NA,NA,NA,0.00897119583324744,0.00897071440728429,0.0192527090190852,0.0160016345302167,0.0159897552903601,0.0660949679126592,0.0111596424621868,0.0111573690265215,0.0419937430364733,0.00900590636225745,0.00899716578045964,0.0978050724239679,0.00927772089658896,0.00923618469134029,0.375323428229271,0.0164655647781636,0.0156344424199648,1.60323364995266,0.00469942753753167,0.0045635273315894,1.19448124004673,0.00168856598016236,0.00168050979458401,NA,0.000954776558421278,0.000953555887342238,NA,0.000263121123833028,0.000263034273656996,NA,0.00607861230544818,0.00607821337574655,0.016390625345211,NA,NA,NA
"Tarim",0.01631396236308,0.0105605156347044,64.7719581834218,0.0177887623135009,0.0101129832866675,57.5190425418421,0.0191278336994715,0.00902546704077216,48.5433828695365,0.0167446617158406,0.0101511034140601,63.5942216401956,0.964264191032391,0.575860565598421,60.1233129714677,1.76213404641572,1.02781207288901,58.8922271468172,2.09136046855213,1.00813149786571,48.3991443457511,1.79993255333103,0.872267261813663,48.7182588275781,0.857612178280579,0.4829593779803,56.431728704108,0.0596493623699855,0.0378261272255349,64.1282611748485,0.00850307844160654,0.00532479949848881,64.4756392613223,NA,NA,NA,0.00508528790023399,0.00352719410279531,6.96124629317221,0.00481625249213573,0.00247451201530473,8.80680882227104,0.0112168774787192,0.00475910032834055,9.30693637926896,0.0128174919071292,0.00667679201540162,10.3618318435517,0.0568723881191346,0.0647446037594425,8.95907217320991,0.167031155628552,0.0889404277384823,7.71153775450862,0.117674036645983,0.104386158990909,6.12558095028982,0.134212065215785,0.10373030061389,6.81724675573986,0.0687006312983216,0.0687260079912183,7.66273121067296,0.0185284403993768,0.0111245752339321,6.34254658703194,0.00568244824129636,0.00351664412258155,7.40199713286738,NA,NA,NA
