"irrigationGrwt","IrrGrwt_km3_pgi","IrrGrwt_percent_pgi","irrigationGrwt_stdev","IrrGrwt_mm_pgi_stdev","IrrGrwt_percent_pgi_stdev"
"Ganges",147.888470983291,0.339929231549966,0.240512897762946,16.4115252234386,0.145782890089082,0.117099602467898
"Mekong",24.7574879930653,0.000470413335062796,0.00192681639723268,3.56221044591799,0.000459924897217706,0.00198658613967802
"Irawaddy",4.31555872853677,7.45559138213275e-09,1.73427574329013e-07,0.344300166667603,4.41292998818393e-09,1.07166613568822e-07
"Luni_ext",6.61128939778493,0.0611845518719114,1.02703211562527,2.38846905750477,0.0187555937334374,0.457867679539445
"Indus",57.0384688428083,1.63692091407455,2.85532147659749,3.57648878713702,0.414118144626156,0.66039886482953
"Amu_Darya",0.33909366609854,0.0139424325677725,3.98298024206651,0.0643916701216623,0.00689052963079357,1.70880073244613
"Brahmaputra",46.4399985730896,0.00991598515180078,0.0203291945925581,5.53638917404951,0.00600157846796723,0.0112049218870461
"Syr_Darya",0.0843688275632161,0.00080716467789094,0.85922261591135,0.0234062724073814,0.000674244132752435,0.446624534646087
"Salween",0.325899875909557,7.20091885092066e-08,1.93979217412234e-05,0.0497144668682039,1.01659334710081e-07,2.67248116977561e-05
"Tarim",0.194818460563241,0.00955716531270716,4.41080450174583,0.0657978746218266,0.00927818552249792,2.66494430276086
"Ili",0.254087481657719,0.00932851480174507,2.78833307086205,0.150884440756784,0.00891275753132841,1.88359976478247
"Inner_Tibetan_Plateau",0.00142497909168148,0,NA,0.00220756919245156,0,NA
"Yangtze",120.246417875139,0.153844616137531,0.122134173323815,11.4959992089852,0.100974662900943,0.073551055152536
"Inner_Tibetan_Plateau_extended",0.0740936701806798,0.00226754413291029,3.08384499130146,0.0257043302130482,0.00239815738378657,2.87858922308288
"Yellow",1.0452783572487,0.000680735903545976,0.139293344235246,0.688910991421689,0.000664187265580041,0.255984900166102
"all_basins",409.770789367673,2.23986360391248,0.547478731163691,6.73963864760592,0.614885114116003,0.151063996502259
