"irrigationGrwt","IrrGrwt_km3_ps","IrrGrwt_percent_ps","irrigationGrwt_stdev","IrrGrwt_mm_ps_stdev","IrrGrwt_percent_ps_stdev"
"Ganges",147.888470983291,3.83667175906998,2.67706417169897,16.4115252234386,1.23468482831603,1.00628913810036
"Mekong",24.7574879930653,0.0492268897470914,0.189682821706434,3.56221044591799,0.0294764871357158,0.107855612723482
"Irawaddy",4.31555872853677,4.65337209854159e-06,0.000106779132843854,0.344300166667603,4.11078889895717e-06,9.36037942679664e-05
"Luni_ext",6.61128939778493,0.315758157709466,5.43341114443647,2.38846905750477,0.141227032387289,2.8371043784161
"Indus",57.0384688428083,8.95132746137167,15.6210250436778,3.57648878713702,3.40781010952459,5.99693007824693
"Amu_Darya",0.33909366609854,0.0782558508083175,22.1795428889856,0.0643916701216623,0.0350549974254791,6.6647776572021
"Brahmaputra",46.4399985730896,0.493567693230895,1.01121922984471,5.53638917404951,0.294442834107763,0.564152843038979
"Syr_Darya",0.0843688275632161,0.00988802126810467,11.1825706999653,0.0234062724073814,0.00512317809705304,2.67915579869373
"Salween",0.325899875909557,4.57650657977925e-06,0.00130679584577464,0.0497144668682039,4.56079761467994e-06,0.00118369849491886
"Tarim",0.194818460563241,0.0599583907980085,29.7458580069572,0.0657978746218266,0.0341622676854665,9.91400896717501
"Ili",0.254087481657719,0.0318051212922998,10.1620055466887,0.150884440756784,0.0316336362122389,4.93019655367464
"Inner_Tibetan_Plateau",0.00142497909168148,9.56535401290336e-05,NA,0.00220756919245156,0.000148185899525627,NA
"Yangtze",120.246417875139,1.47079524798615,1.205331397707,11.4959992089852,0.595132898303947,0.442905893110866
"Inner_Tibetan_Plateau_extended",0.0740936701806798,0.011595501204819,16.5239089669263,0.0257043302130482,0.00597150495899168,7.35466995934532
"Yellow",1.0452783572487,0.0920006048132866,8.288460131471,0.688910991421689,0.0903868073123862,3.25960498348977
"all_basins",409.770789367673,15.4071837635238,3.7716710540151,6.73963864760592,5.06967645604653,1.25739766079234
