Basin,Month_of_Max,Max_Value
1,Ganges,Jun,34.9082569559924
2,Mekong,Jul,0.457807110582527
3,Irawaddy,Mar,1.31122558825482e-08
4,Luni_ext,May,46.1502804291633
5,Indus,Nov,2.64996928661771
6,Amu_Darya,Feb,12.3391620951047
7,Brahmaputra,Mar,1.7039893773147
8,Syr_Darya,Jan,34.9088004284964
9,Salween,Jun,9.00076248288542e-18
10,Tarim,Mar,2.08865607330288
11,Ili,Jun,42.08451253788
12,Inner_Tibetan_Plateau,May,1.20918490002693e-16
13,Yangtze,Jul,1.25875669357959
14,Inner_Tibetan_Plateau_extended,Mar,61.7806179239008
15,Yellow,Feb,13.2151774854101
16,all_basins,May,15.6846425999127
