"Jan_irrigationGrwt","Jan_IrrGrwt_km3_ps","Jan_IrrGrwt_percent_ps","Feb_irrigationGrwt","Feb_IrrGrwt_km3_ps","Feb_IrrGrwt_percent_ps","Mar_irrigationGrwt","Mar_IrrGrwt_km3_ps","Mar_IrrGrwt_percent_ps","Apr_irrigationGrwt","Apr_IrrGrwt_km3_ps","Apr_IrrGrwt_percent_ps","May_irrigationGrwt","May_IrrGrwt_km3_ps","May_IrrGrwt_percent_ps","Jun_irrigationGrwt","Jun_IrrGrwt_km3_ps","Jun_IrrGrwt_percent_ps","Jul_irrigationGrwt","Jul_IrrGrwt_km3_ps","Jul_IrrGrwt_percent_ps","Aug_irrigationGrwt","Aug_IrrGrwt_km3_ps","Aug_IrrGrwt_percent_ps","Sep_irrigationGrwt","Sep_IrrGrwt_km3_ps","Sep_IrrGrwt_percent_ps","Oct_irrigationGrwt","Oct_IrrGrwt_km3_ps","Oct_IrrGrwt_percent_ps","Nov_irrigationGrwt","Nov_IrrGrwt_km3_ps","Nov_IrrGrwt_percent_ps","Dec_irrigationGrwt","Dec_IrrGrwt_km3_ps","Dec_IrrGrwt_percent_ps","Jan_irrigationGrwt_stdev","Jan_IrrGrwt_km3_ps_stdev","Jan_IrrGrwt_percent_ps_stdev","Feb_irrigationGrwt_stdev","Feb_IrrGrwt_km3_ps_stdev","Feb_IrrGrwt_percent_ps_stdev","Mar_irrigationGrwt_stdev","Mar_IrrGrwt_km3_ps_stdev","Mar_IrrGrwt_percent_ps_stdev","Apr_irrigationGrwt_stdev","Apr_IrrGrwt_km3_ps_stdev","Apr_IrrGrwt_percent_ps_stdev","May_irrigationGrwt_stdev","May_IrrGrwt_km3_ps_stdev","May_IrrGrwt_percent_ps_stdev","Jun_irrigationGrwt_stdev","Jun_IrrGrwt_km3_ps_stdev","Jun_IrrGrwt_percent_ps_stdev","Jul_irrigationGrwt_stdev","Jul_IrrGrwt_km3_ps_stdev","Jul_IrrGrwt_percent_ps_stdev","Aug_irrigationGrwt_stdev","Aug_IrrGrwt_km3_ps_stdev","Aug_IrrGrwt_percent_ps_stdev","Sep_irrigationGrwt_stdev","Sep_IrrGrwt_km3_ps_stdev","Sep_IrrGrwt_percent_ps_stdev","Oct_irrigationGrwt_stdev","Oct_IrrGrwt_km3_ps_stdev","Oct_IrrGrwt_percent_ps_stdev","Nov_irrigationGrwt_stdev","Nov_IrrGrwt_km3_ps_stdev","Nov_IrrGrwt_percent_ps_stdev","Dec_irrigationGrwt_stdev","Dec_IrrGrwt_km3_ps_stdev","Dec_IrrGrwt_percent_ps_stdev"
"Ganges",12.5603906876441,0.325854313293513,2.67706416959118,16.1423653482698,0.334248719070547,2.05867063979245,12.2753453134919,0.281245186803478,2.28805982005203,14.8427496446523,0.830691362663168,5.58973430352273,14.7447867882,1.9685933852881,13.2319116302892,11.9192805620594,1.97655762464248,17.1350905387272,6.08454717347814,0.549767721120246,9.15460868645542,9.88876450575193,0.23645330177943,2.29535771110357,14.6314203964774,0.254088436440394,1.61122180839323,10.3251323358397,0.212804064093623,2.12514297273385,9.76097052637442,0.122577064624892,1.27622489192861,NA,NA,NA,1.39385558656538,0.104863642691308,1.00628914255861,1.84721393963576,0.098167586739376,0.526557102550976,1.31114474732995,0.0589782852609743,0.423685700727559,0.338461247919382,0.265850994936083,1.76055198240842,1.04878156032864,0.827373983055585,5.15273747296383,2.33626557209036,0.527280854654521,6.15564219311274,1.06714357683024,0.160607434682391,2.58010250735148,1.73237425672595,0.137276568984957,1.00599957753136,2.46201289841289,0.189134267924816,0.945887854908912,2.35219763665018,0.107799820196003,1.04685510629982,0.849274283587109,0.057702658639989,0.625788755024743,NA,NA,NA
"Mekong",1.89920456207576,0.00377630937100753,0.189682821791002,1.51545153248893,0.00296186061244402,0.185354712596716,0.584070493692864,0.000920707861781315,0.148037130658959,0.378691054923726,0.000830795438693797,0.205556503983432,1.10550699622182,0.00181871472403034,0.151292211062718,0.84835945498418,0.0118131970026099,1.20611639558391,0.914216372893791,0.00633819699875956,0.594411888225106,0.4903369979923,0.000510659022713372,0.148382387590002,0.377812833456546,7.86385606470235e-05,0.0195166662670375,0.66033741252245,3.10347105779239e-05,0.00444389040123025,1.63721572462457,0.000337165823575382,0.020928751374374,NA,NA,NA,0.273265465822505,0.00226120997611089,0.107855611958972,0.250623429280507,0.00194456642883823,0.0998458559800045,0.115723314826659,0.000620887175518331,0.0760118364938094,0.115092562343504,0.000530128953866644,0.0785252533540029,0.218212746371405,0.00158922819235521,0.115986628396991,0.369044824303477,0.0108480260730447,0.913521755888465,0.319409559711063,0.00648251608681332,0.576283653651714,0.217686240508884,0.00056419990686934,0.234212079638321,0.128876439886563,6.11003640377557e-05,0.0116511773489346,0.128018726253625,3.87871688587779e-05,0.00543939789728005,0.24498829899708,0.00018268875095956,0.011415434665404,NA,NA,NA
"Irawaddy",0.366526907210963,3.95217906720241e-07,0.000106779133445987,0.703897915499323,2.00341726704763e-05,0.00264354762903561,0.37063524767907,5.08280860991479e-05,0.0140466688125864,0.141971029716414,7.13473534672224e-05,0.0473121718387897,0.0669775952894418,0.000152400245131057,0.206236470031208,0.0905640177500189,1.08949413776331e-06,0.00157145480218158,0.112603535171486,2.35743369094528e-05,0.0172963208917958,0.01199447274849,6.11706361584872e-07,0.00310820508063113,0.00586431617062289,8.85982525472012e-08,0.000569120215843596,0.000112948799714019,1.08565682414734e-11,NA,0.36155269010276,2.53585196850566e-07,7.08045529492242e-05,NA,NA,NA,0.0292419329315367,3.49135494697876e-07,9.36037948783653e-05,0.116509048125483,1.41216736834913e-05,0.00171505696722352,0.0315930143358295,2.55346582979768e-05,0.0079887022834948,0.0439060020077008,3.92303378095222e-05,0.0190034656665059,0.0354998491603814,9.96543247952555e-05,0.0892706430222525,0.0335706473515916,9.49859102549351e-07,0.0020959668119642,0.0499314556637964,3.28209985003538e-05,0.0231930764185803,0.00841579395786692,1.15299716246965e-06,0.00477405019549004,0.00522946285414867,2.14495729642844e-07,0.00134553479645374,0.000135728587598552,2.27900107566157e-11,NA,0.0315792808351344,6.7389385229003e-08,2.11148168999704e-05,NA,NA,NA
"Luni_ext",0.543393649853749,0.0259527253290695,5.43341116095242,1.46713667395562,0.0440773854045819,3.00845861867576,1.72261313355056,0.0675049239141886,3.93369776487875,1.9346473946569,0.094338516926909,4.88362425767554,1.75962932070848,0.0905412385768722,5.1230155772056,1.01493530065679,0.106988468214727,10.6758323235094,0.638546729910007,0.133484810824054,20.5315535429903,1.57818492086946,0.140105215926585,8.80130240589603,1.63303669249944,0.102645871412903,6.31198271050163,0.873385924282377,0.0420716826389558,5.49534546951093,0.604830945160219,0.0129221765444867,2.32248953107776,NA,NA,NA,0.196312525654173,0.0116077011802246,2.83710441351615,0.352671145570786,0.0201823283635937,1.13377347945197,0.2540555339642,0.0268954072741917,1.44358370440174,0.0714275785306197,0.0172356657211083,0.93572500886127,0.25053947943303,0.0245592937493638,1.20647989824598,0.167440821125465,0.0286026114366706,2.73189499810629,0.105453236681368,0.0470493171917439,6.10370713812751,0.176405886646677,0.0468116755669109,2.63966310369929,0.0834896261489279,0.0335726922722581,2.16142437804803,0.257494861908229,0.0190202699365206,3.54304100082517,0.177042797869901,0.00472691933742481,0.99403605193915,NA,NA,NA
"Indus",4.84436310925474,0.760249729953957,15.6210250386019,4.66219373228848,0.745139822454214,15.5460878655571,7.49496086967568,1.06771216559477,13.9563604680386,9.98195799490855,1.43234919520477,14.30706560917,7.23335122171483,1.61538378010364,21.9680727713556,14.502936429446,4.81921637420254,33.1272803623136,12.2044375990972,4.73948156366914,38.3198480782493,19.6880658445147,4.30621803255759,21.5794040210686,18.3432772496848,3.43814766382636,18.4059905617186,9.86546002595271,1.58291632301365,15.9553131176167,2.13136387560437,0.241354225017608,11.4686559641897,NA,NA,NA,0.303756584580933,0.289430447733471,5.99693006469741,0.957536486191663,0.414915961485179,6.32105177561785,1.06994104281746,0.53107170290546,5.83129484632765,0.551378642931033,0.398144234453143,3.7482607308915,0.987261275235549,0.591236557473446,6.37477897736705,1.50791745982721,1.24756042205641,7.1133454240717,1.18091950905383,1.33040327667543,8.45560235657762,1.83066857963308,1.55124163931487,6.55812978905926,1.52173527448821,1.34581859088877,6.30813330484212,0.67189783635564,0.567511484270156,5.61955901173165,0.320039838725681,0.0879430344550336,3.87990052408192,NA,NA,NA
"Amu_Darya",0.0278707126382205,0.00643198761717102,22.1795421512457,0.0125863016929545,0.00253219701017372,17.9946538460155,0.00506815083274681,0.00147560320810144,27.1079793011024,0.0514873899598134,0.0167319787798992,30.768111880866,0.1629848503422,0.039315562680397,23.3574895890084,0.562059731496025,0.174733365709726,31.1942870535166,0.759623729672585,0.282705105524178,37.0441872566266,1.28721909551849,0.426956600491079,33.1467659635136,0.881103350051528,0.266705896567389,30.3476553937471,0.661904299472755,0.207685863416598,31.2081027309776,0.124693876884704,0.0406610966284118,32.4280960566686,NA,NA,NA,0.00529246599652753,0.00288123264005956,6.66477750276856,0.00584577254857279,0.00193013516753765,10.2163192225117,0.00169021728753948,0.00100432406357502,10.2069430884607,0.0221303182951329,0.0116030363826993,12.8327527668099,0.0393465502156397,0.0187893438368597,6.70994800056187,0.035964136954634,0.0427805903356361,7.60519167017506,0.0672212333300241,0.051921549552687,4.44763760274917,0.0203632716203208,0.0615735972426752,4.55687928466521,0.0499587029627974,0.0387342063217713,4.69960493420711,0.0462337710766929,0.042115758373891,4.87155847389709,0.0531877237367481,0.0181261927758781,7.45829447879194,NA,NA,NA
"Brahmaputra",3.94421906725502,0.0419194481801806,1.01121923341639,4.02131587694018,0.0678762542838837,1.69064816893419,4.46176348458757,0.0780915588795083,1.74273828410856,1.6515941112496,0.0459311490897602,2.77765095650342,2.91698619520734,0.075327678447684,2.52963636647938,1.91998707730277,0.0386370735916467,1.98104396261834,2.49724315386875,0.0285431241107661,1.12300738498856,0.931552655737424,0.0024959144380814,0.237552290760083,0.894405108224401,0.0011851083361279,0.131080307368914,1.73874822252041,0.0011544975323715,0.0618589396656721,1.25255890589971,0.00152572931804909,0.114094351855484,NA,NA,NA,0.470213872564903,0.0250074738145356,0.564152847864334,0.278973866440288,0.0347900114935313,0.840849021033498,0.289242822919086,0.0215281501510007,0.43680313064964,0.141947953825978,0.0106690744933306,0.580325051057802,0.195847774716419,0.0466193429836544,1.41550626046127,0.551490826131949,0.0206705776811692,0.857977260202905,0.269766817862278,0.0125800972380009,0.434447272070681,0.275616896308083,0.00243634838733189,0.17600068262936,0.161960964194751,0.00133362589552538,0.152479432888952,0.476820168348722,0.00080254311361675,0.0289120007087396,0.291952885118192,0.000876863676225111,0.0606539888843827,NA,NA,NA
"Syr_Darya",0.00716557155682314,0.000839804549627195,11.1825709557198,0.00126205381051303,0.000280605784994004,23.0378295371148,0.00105176948871133,0.000464013571543909,26.4676267476751,0.0030972864079537,0.00092253788590276,28.8378565827588,0.0402859794647253,0.0127790910662006,27.7669582820399,0.247033911946604,0.0625952575559016,25.8601914896498,0.586605811844705,0.148353915263913,25.4653014003089,0.787560332950386,0.248636836170862,31.5667756618393,0.50168958723169,0.167414085564516,33.3663739807772,0.352185330843744,0.107075137176811,30.2696317791482,0.0197578573091205,0.00558002605211159,27.7308891682405,NA,NA,NA,0.00198793009492178,0.000435119232289109,2.67915578996135,0.00130285139746647,0.000319492526025575,3.85605231374882,0.00154646936983433,0.000918752183596307,15.1895291939572,0.00387683247494906,0.0014002812712036,9.05267918867646,0.0307988918022089,0.0129216737923512,9.71023531261848,0.071679538688155,0.022028165970668,8.0309240022283,0.076594989833442,0.0264673646504414,4.68263490970612,0.0222152580708416,0.0249224637116704,2.94865854229878,0.0508092847646677,0.0205072408292999,2.17190916277791,0.0558781247603199,0.0213561947858797,1.99111730931537,0.0320915222205462,0.00988786395628474,11.0933993913543,NA,NA,NA
"Salween",0.026786290190346,3.76151211688915e-07,0.00130679584472089,0.0328652454476377,1.07322794880964e-06,0.00240628135601734,0.0268414214226776,1.1593165898263e-07,0.000403163280245727,0.0285329205460283,1.8195490769741e-05,0.0830630165211094,0.0219798178037656,1.35351838004868e-06,0.00385535415418013,0.047597619925084,7.77873070990659e-05,0.114040906710662,0.00343239576022114,3.01619577495725e-06,0.0640256267535091,0.00151171335922603,3.87088364869003e-07,0.00800113033365642,0.000830846152969874,7.86488196395351e-08,0.00416156990317183,0.000152931055055205,9.40949746186919e-09,NA,0.0451159083839692,1.24754955844058e-06,0.00283731630310937,NA,NA,NA,0.00408612039482471,3.74860056596067e-07,0.00118369847020671,0.0126723228297351,1.89024753974972e-06,0.00330468267826366,0.0124646853077597,1.30899714844471e-07,0.000393284447357916,0.0128266199112625,1.14332101080459e-05,0.0777507437136666,0.0111927063697,3.31528559011016e-06,0.0094430889866933,0.0208853788829814,0.000112938656328563,0.154366315105003,0.00202928704381983,3.92907411042124e-06,0.0891468713084657,0.00182587423067901,9.39941565921447e-07,0.0184606395492107,0.000728738301679254,1.81151950421759e-07,0.00944826158195271,0.000191902860640142,1.97165037570835e-08,NA,0.00275178347817551,1.79943066574465e-06,0.00414000770829089,NA,NA,NA
"Tarim",0.0165462253589421,0.00509235645343631,29.7458580068719,0.0160293346588132,0.00500270010246136,30.3659233987001,0.0152609640986479,0.00540432668835029,33.7572954783843,0.00887568705042675,0.00258078448607034,26.1670449028257,0.942003455604364,0.296445068175173,31.2935572346754,1.70021664541289,0.609670981076027,35.683804995608,2.08789552922689,0.839152481826648,40.1353399790937,1.74939240477428,0.611621036255628,34.8445483954825,0.82679604213669,0.250332579209855,29.9611191491003,0.0773629470789075,0.0217502215361742,26.916348899009,0.0139784454234616,0.00476738078649711,33.6802061080818,NA,NA,NA,0.00558831304073751,0.00290145293943163,9.91400881422516,0.00459766210247816,0.00252912475049646,10.0584028098761,0.00718107307284043,0.00276983838598871,6.33524009017141,0.00618164371820406,0.00246102114689924,7.30622614711483,0.0340805145733795,0.0844386266942868,8.1894297452527,0.106019731083996,0.112276946519266,4.89927287444931,0.175226921708918,0.14216013180724,5.32128778960967,0.13541621730315,0.122234036758175,5.88810242374292,0.0842321135089698,0.057323764885801,5.12534130919318,0.0261883766909313,0.00972457478156789,5.04139281947059,0.00547363825423341,0.00211572173575526,6.64273553670088,NA,NA,NA
