"irrigationGrwt","IrrGrwt_km3_pgi","IrrGrwt_percent_pgi","irrigationGrwt_stdev","IrrGrwt_mm_pgi_stdev","IrrGrwt_percent_pgi_stdev"
"Ganges",135.338834930516,0.397915937677325,0.281575648646311,15.3565493742213,0.269932732670462,0.163262994386124
"Mekong",25.6834646765225,0.000338355010187447,0.00127403648244591,2.50976005587657,0.000223869443636014,0.000761981604946896
"Irawaddy",5.36904357656391,1.28966060004043e-07,1.66909256432965e-06,2.20499772278031,2.07366334231471e-07,2.66229165713994e-06
"Luni_ext",4.48710808861583,0.0514276026482034,1.30812119747861,2.5344088767234,0.0147093536365499,0.384278691206401
"Indus",47.3617155208498,1.07322561763072,2.20442491025607,10.4827827964418,0.409575911790831,0.371202390622397
"Amu_Darya",0.312770698591144,0.00745458468880361,2.36714842587383,0.0443578293018196,0.00186061751236718,0.396105883262998
"Brahmaputra",47.5816668242654,0.0110944056327894,0.0229892698574043,3.71777096240222,0.00576041161931571,0.0111515098643878
"Syr_Darya",0.156079038642426,0.00232630296046035,1.18787624450991,0.108469600135404,0.00239722436908227,0.66776767198465
"Salween",0.344544462423417,4.2608732120563e-07,9.90239524499531e-05,0.105238482309562,1.0370243848574e-06,0.000240905220077577
"Tarim",0.21603898591778,0.00967019293342299,4.65125658696144,0.0353237314095139,0.00364028347200397,2.15223062326856
"Ili",0.288060495482513,0.00765386856506893,2.48388576339626,0.071916230926427,0.00500015978225736,1.24150114595939
"Inner_Tibetan_Plateau",0,0,NA,0,0,NA
"Yangtze",104.012579376773,0.0324152753673092,0.0299632273693749,14.088375620085,0.0282267863082845,0.0239075470863629
"Inner_Tibetan_Plateau_extended",0.0828893116781937,0.00267001247504892,3.1079796884028,0.0417220601223433,0.00200751550182097,0.900808878789306
"Yellow",0.470405303494705,0.000129333368606356,0.0326587968139173,0.295363467283515,8.05237199854461e-05,0.0145524395076051
"all_basins",371.861873323303,1.59679832147397,0.424570362970488,23.8864008517733,0.647339973405733,0.155168552360627
