"","2000","2001","2002","2003","2004","2005"
"Ganges",163.530690826121,129.240121439793,121.067810421807,127.216886734159,129.265010601926,141.712489559293
"Mekong",22.9805351261633,27.0230829079319,23.0932249912005,28.7201728175546,27.8801084976936,24.4036637185912
"Irawaddy",5.20078152872074,2.78359710891265,3.09893470195749,7.71061018867731,8.00702402954106,5.41331390157422
"Luni_ext",7.90883026665015,2.71643220331591,2.17354935496336,3.86867336236189,2.81271259702743,7.44245074737627
"Indus",55.9941401073001,38.5090443401451,37.0964730509487,53.261967148177,38.5670721537722,60.7415963247557
"Amu_Darya",0.296252359704599,0.391503703569199,0.287527766073911,0.339223927902847,0.278058086503456,0.28405834779285
"Brahmaputra",49.6702149938591,48.5132760669651,50.3394032137911,40.7303407728539,50.2109015693505,46.0258643287725
"Syr_Darya",0.193693775222221,0.155935981018238,0.0688364284857226,0.104970383509041,0.0614297750751651,0.35160788854417
"Salween",0.245398867734892,0.384079041405068,0.273290181845408,0.430438435627343,0.490554821553952,0.243505426373837
"Tarim",0.227866338641598,0.281758252244848,0.20713048685577,0.199002138385319,0.18395501556297,0.196521683816179
"Ili",0.231642899916219,0.332527828895132,0.192846797330425,0.332570520128637,0.381395059969469,0.257379866655194
"Inner_Tibetan_Plateau",0,0,0,0,0,0
"Yangtze",105.326637179008,128.553523544677,109.925499478377,95.8244992314982,94.273901484367,90.1714153427117
"Inner_Tibetan_Plateau_extended",0.101909870805919,0.0390414763027382,0.0621304830046812,0.0446649847241456,0.147323562027795,0.102265493203883
"Yellow",0.641455211549595,0.719025709979251,0.274960060533051,0.212038684700191,0.141359957761783,0.83359219644436
"all_basins",412.72954426303,379.79380201833,348.3058333289,359.148568054274,352.855083785131,378.33840849015
