"irrigationGrwt","IrrGrwt_km3_pr","IrrGrwt_percent_pr","irrigationGrwt_stdev","IrrGrwt_mm_pr_stdev","IrrGrwt_percent_pr_stdev"
"Ganges",139.036647991789,100.925208941981,72.7642239505146,6.83063511384278,6.45470987501937,5.81936946531096
"Mekong",13.3966852300529,13.3198444033783,99.4688461974784,1.54128875147059,1.48248745202013,0.721438559353547
"Irawaddy",2.30865918167995,2.30800006530856,99.9735956105698,0.297572633118639,0.297092154949798,0.0242209702559249
"Luni_ext",14.1505048905038,6.80808518621253,48.2605201783014,0.909690120958549,1.28227172110154,9.18346566191696
"Indus",110.921310425392,71.4627974639915,64.5209355001897,5.55587935048858,4.1771006434641,4.04419483195235
"Amu_Darya",4.62798749064769,2.07807479778871,44.9787502208692,0.23207987799876,0.270778493846043,6.00824498262926
"Brahmaputra",28.7018188593546,28.0042505131782,97.5932201550522,1.97716167448458,1.84150157028743,0.915614184112624
"Syr_Darya",2.62127060014721,1.82888303351759,69.9525737845735,0.33235761109064,0.229204943289383,4.63925699349461
"Salween",0.256025882425904,0.255473991073104,99.8254856797696,0.0476669541184745,0.0469099433149598,0.420510698458356
"Tarim",7.95186139440804,4.23099147768231,53.4774376069528,0.487832448048499,0.310959406017888,5.87463635575625
"Ili",10.9622383083148,3.6360770540434,33.2628992117592,0.436053308939742,0.316985384466055,3.55588706383921
"Inner_Tibetan_Plateau",0.0456628659304347,0.0243322754998772,53.2754868825421,0.00117074487226959,0.00311857796367765,6.58843420222196
"Yangtze",127.524433369623,121.388531228942,95.2840514551471,10.0976715268685,8.34642993936866,2.22415440559556
"Inner_Tibetan_Plateau_extended",2.9780620028459,1.625704887012,54.9166860704943,0.176487909483347,0.147657705434472,7.13677898069012
"Yellow",21.5742583382061,15.8195696968318,73.5508652765241,1.75624376734201,1.41804434516181,6.28800070436103
"all_basins",487.460061508407,374.031050247313,76.7743587086519,17.8780636697065,13.0285049500875,2.44696066352509
