"Jan_irrigationGrwt","Jan_IrrGrwt_km3_pgi","Jan_IrrGrwt_percent_pgi","Feb_irrigationGrwt","Feb_IrrGrwt_km3_pgi","Feb_IrrGrwt_percent_pgi","Mar_irrigationGrwt","Mar_IrrGrwt_km3_pgi","Mar_IrrGrwt_percent_pgi","Apr_irrigationGrwt","Apr_IrrGrwt_km3_pgi","Apr_IrrGrwt_percent_pgi","May_irrigationGrwt","May_IrrGrwt_km3_pgi","May_IrrGrwt_percent_pgi","Jun_irrigationGrwt","Jun_IrrGrwt_km3_pgi","Jun_IrrGrwt_percent_pgi","Jul_irrigationGrwt","Jul_IrrGrwt_km3_pgi","Jul_IrrGrwt_percent_pgi","Aug_irrigationGrwt","Aug_IrrGrwt_km3_pgi","Aug_IrrGrwt_percent_pgi","Sep_irrigationGrwt","Sep_IrrGrwt_km3_pgi","Sep_IrrGrwt_percent_pgi","Oct_irrigationGrwt","Oct_IrrGrwt_km3_pgi","Oct_IrrGrwt_percent_pgi","Nov_irrigationGrwt","Nov_IrrGrwt_km3_pgi","Nov_IrrGrwt_percent_pgi","Dec_irrigationGrwt","Dec_IrrGrwt_km3_pgi","Dec_IrrGrwt_percent_pgi","Jan_irrigationGrwt_stdev","Jan_IrrGrwt_km3_pgi_stdev","Jan_IrrGrwt_percent_pgi_stdev","Feb_irrigationGrwt_stdev","Feb_IrrGrwt_km3_pgi_stdev","Feb_IrrGrwt_percent_pgi_stdev","Mar_irrigationGrwt_stdev","Mar_IrrGrwt_km3_pgi_stdev","Mar_IrrGrwt_percent_pgi_stdev","Apr_irrigationGrwt_stdev","Apr_IrrGrwt_km3_pgi_stdev","Apr_IrrGrwt_percent_pgi_stdev","May_irrigationGrwt_stdev","May_IrrGrwt_km3_pgi_stdev","May_IrrGrwt_percent_pgi_stdev","Jun_irrigationGrwt_stdev","Jun_IrrGrwt_km3_pgi_stdev","Jun_IrrGrwt_percent_pgi_stdev","Jul_irrigationGrwt_stdev","Jul_IrrGrwt_km3_pgi_stdev","Jul_IrrGrwt_percent_pgi_stdev","Aug_irrigationGrwt_stdev","Aug_IrrGrwt_km3_pgi_stdev","Aug_IrrGrwt_percent_pgi_stdev","Sep_irrigationGrwt_stdev","Sep_IrrGrwt_km3_pgi_stdev","Sep_IrrGrwt_percent_pgi_stdev","Oct_irrigationGrwt_stdev","Oct_IrrGrwt_km3_pgi_stdev","Oct_IrrGrwt_percent_pgi_stdev","Nov_irrigationGrwt_stdev","Nov_IrrGrwt_km3_pgi_stdev","Nov_IrrGrwt_percent_pgi_stdev","Dec_irrigationGrwt_stdev","Dec_IrrGrwt_km3_pgi_stdev","Dec_IrrGrwt_percent_pgi_stdev"
"Ganges",12.5603906876441,0.0288707019415176,0.240512898651101,16.1423653482698,0.0214618133806448,0.132561489882959,12.2753453134919,0.0134482605241583,0.108908924996127,14.8427496446523,0.0184075216402469,0.123896680825545,14.7447867882,0.043863639949043,0.298212824099953,11.9192805620594,0.467320955023599,3.85588660476734,6.08454717347814,0.208412410864143,3.33869486756604,9.88876450575193,0.147113105404244,1.4381242068947,14.6314203964774,0.150784128349294,0.948127103864038,10.3251323358397,0.1065119409888,1.08187639091147,9.76097052637442,0.0281088979057863,0.298391392742452,NA,NA,NA,1.39385558656538,0.0123815606054786,0.117099603424231,1.84721393963576,0.00839388370038089,0.0517960228931908,1.31114474732995,0.00521649584671555,0.0438791054457898,0.338461247919382,0.00708715768091529,0.0471342150797943,1.04878156032864,0.00970531248699077,0.0651263137334258,2.33626557209036,0.145659286445461,0.607338296605084,1.06714357683024,0.0748739878413554,0.675710464346185,1.73237425672595,0.124729059095723,1.04939610908907,2.46201289841289,0.123355105338756,0.642524641063605,2.35219763665018,0.0464670680954259,0.504700051104189,0.849274283587109,0.0166083673659856,0.195159734354262,NA,NA,NA
"Mekong",1.89920456207576,3.60865022668827e-05,0.00192681637969016,1.51545153248893,7.60368601326699e-06,0.000528929843340024,0.584070493692864,8.17391237822372e-07,0.000132100498118891,0.378691054923726,4.20466005174034e-07,0.000108926641306255,1.10550699622182,1.96497416313912e-06,0.000164167931470949,0.84835945498418,9.22682874109173e-05,0.00867517742071282,0.914216372893791,5.32395165920138e-05,0.00497398050840876,0.4903369979923,6.3551514760364e-06,0.00239460572795056,0.377812833456546,3.90044595783805e-07,0.000117570424249592,0.66033741252245,8.22917104039331e-08,1.21615745508763e-05,1.63721572462457,1.62424391766483e-06,9.29426749769871e-05,NA,NA,NA,0.273265465822505,3.52819097455802e-05,0.00198658611980811,0.250623429280507,5.9231456787918e-06,0.000477066674478108,0.115723314826659,5.31670502296466e-07,8.46647770160664e-05,0.115092562343504,2.73324404058468e-07,6.62844653141369e-05,0.218212746371405,1.7263686589388e-06,0.000127786972951409,0.369044824303477,0.000102253283431131,0.00883139789124129,0.319409559711063,5.54554595593872e-05,0.0049515069919525,0.217686240508884,1.22917612827695e-05,0.00507943603995692,0.128876439886563,3.07044443614909e-07,0.000126086009085078,0.128018726253625,7.23089953484714e-08,1.00807131869565e-05,0.24498829899708,1.7160633139297e-06,9.86293476679189e-05,NA,NA,NA
"Irawaddy",0.366526907210963,6.3321457239009e-10,1.73427564036819e-07,0.703897915499323,7.46072575325834e-09,9.85841999574779e-07,0.37063524767907,1.04961358412102e-08,2.8729466728089e-06,0.141971029716414,5.38731125234167e-09,3.74975574142294e-06,0.0669775952894418,1.97834819225517e-07,0.000288798692934351,0.0905640177500189,4.03838677096270e-09,6.24290690013406e-06,0.112603535171486,1.22338348621334e-07,8.87735741609685e-05,0.01199447274849,6.23509398927281e-09,3.85959389919555e-05,0.00586431617062289,6.42990324305978e-10,4.05088342550626e-06,0.000112948799714019,3.82538323322282e-37,NA,0.36155269010276,5.18027401308392e-10,1.43691075983205e-07,NA,NA,NA,0.0292419329315367,3.74796747264207e-10,1.0716660219784e-07,0.116509048125483,5.23550920806305e-09,6.28403912963738e-07,0.0315930143358295,5.49301986630942e-09,1.58591719668147e-06,0.0439060020077008,3.84103607879118e-09,2.07797199645086e-06,0.0354998491603814,1.29718541962079e-07,0.000205867470304123,0.0335706473515916,4.25614543692739e-09,9.63536792480888e-06,0.0499314556637964,1.85993496862115e-07,0.000132797672121805,0.00841579395786692,1.0137587910838e-08,6.29941419334519e-05,0.00522946285414867,1.57459888316049e-09,9.91607808648998e-06,0.000135728587598552,8.78942311999009e-37,NA,0.0315792808351344,2.86158969458237e-10,8.25659530212799e-08,NA,NA,NA
"Luni_ext",0.543393649853749,0.00502886729254125,1.02703211660381,1.46713667395562,0.00567384804509134,0.389900280221663,1.72261313355056,0.00762823548293033,0.443577813223884,1.9346473946569,0.00600160697124053,0.312196000858715,1.75962932070848,0.00339778690123985,0.193275761501167,1.01493530065679,0.00340252012759254,0.349413875740312,0.638546729910007,0.0115972455736031,1.81062037264287,1.57818492086946,0.0329363779632954,2.12566518925675,1.63303669249944,0.0473709904544938,2.92681805062568,0.873385924282377,0.024588970815701,3.21100886273245,0.604830945160219,0.0056900061016607,1.04696040746879,NA,NA,NA,0.196312525654173,0.00154155567664252,0.457867681917472,0.352671145570786,0.00180254515373381,0.0894351376357141,0.2540555339642,0.00242898852399768,0.120206348157254,0.0714275785306197,0.00182439766598589,0.100266674174559,0.25053947943303,0.00120926082892687,0.0572362482199616,0.167440821125465,0.00165598514555441,0.208529385596534,0.105453236681368,0.0029317786413898,0.295736403740367,0.176405886646677,0.0089415771147224,0.68281929729412,0.0834896261489279,0.0138185299230176,0.917601713175228,0.257494861908229,0.0101180533021226,2.05822256622308,0.177042797869901,0.00166290588088359,0.526122111756732,NA,NA,NA
"Indus",4.84436310925474,0.139026159934409,2.85532147667045,4.66219373228848,0.114712047017072,2.44188565453859,7.49496086967568,0.116099726556676,1.53812471744407,9.98195799490855,0.0797000906186499,0.800017799674918,7.23335122171483,0.0500918472448184,0.671563129681273,14.502936429446,0.284310609253345,1.97538551381924,12.2044375990972,0.589990902028004,4.88632358099314,19.6880658445147,1.3392825598521,6.72332940200499,18.3432772496848,1.74705292190793,9.43809676752364,9.86546002595271,0.790617734780344,8.07592886136247,2.13136387560437,0.0895688188373031,4.32950076318336,NA,NA,NA,0.303756584580933,0.0351716781396859,0.660398862186797,0.957536486191663,0.0404973212501223,0.561510000322681,1.06994104281746,0.0412317428967513,0.43230689631742,0.551378642931033,0.0270875788541019,0.269953946215741,0.987261275235549,0.025424852412486,0.244509787042411,1.50791745982721,0.0927881121240818,0.702000686990772,1.18091950905383,0.112711307479606,1.13991911556665,1.83066857963308,0.481433209229059,2.00470259106927,1.52173527448821,0.576156600336854,2.59906400602104,0.67189783635564,0.212527372823759,2.34102769484259,0.320039838725681,0.013108030655221,1.18237299311231,NA,NA,NA
"Amu_Darya",0.0278707126382205,0.00114595335392209,3.9829801559798,0.0125863016929545,0.000369959404193145,2.58025675068276,0.00506815083274681,5.43583826632239e-05,1.14047660219851,0.0514873899598134,0.000382878394421655,0.695014070006523,0.1629848503422,0.00131468050250236,0.776526080991079,0.562059731496025,0.00794929874596131,1.41131353304224,0.759623729672585,0.0320481861732073,4.15217472400931,1.28721909551849,0.125317531327472,9.76979491114028,0.881103350051528,0.093334522129017,10.4709603863659,0.661904299472755,0.0524863736644806,7.97093297200672,0.124693876884704,0.00798757148023679,6.10669258868048,NA,NA,NA,0.00529246599652753,0.000566344904177328,1.70880071967538,0.00584577254857279,0.000333247925701565,1.90455130106288,0.00169021728753948,2.41669164457199e-05,0.619874715368659,0.0221303182951329,0.000348968125918396,0.382065624565541,0.0393465502156397,0.000642731064060735,0.21586206311973,0.035964136954634,0.00307679472109079,0.513061363093752,0.0672212333300241,0.0149416784486871,1.67323869106937,0.0203632716203208,0.0480295190039191,3.85355543701056,0.0499587029627974,0.0320700552595792,3.1485873478406,0.0462337710766929,0.0132432521209442,2.17362294912513,0.0531877237367481,0.00497308729248259,2.03116531076157,NA,NA,NA
"Brahmaputra",3.94421906725502,0.000842179551605052,0.0203291943274357,4.02131587694018,0.000875723969778266,0.0218041554026677,4.46176348458757,0.00130564258016095,0.028916017784067,1.6515941112496,0.000764072423982482,0.0459617000287305,2.91698619520734,0.00146752106876994,0.0492268317003655,1.91998707730277,0.00775776252807273,0.417436128759702,2.49724315386875,0.00730681266012636,0.283531734759568,0.931552655737424,0.00202710435566758,0.172549134873309,0.894405108224401,0.000620819336855999,0.0709543216933443,1.73874822252041,0.000262961150136668,0.0138092034082794,1.25255890589971,0.000295487189855837,0.0223648670270527,NA,NA,NA,0.470213872564903,0.000509723094959623,0.0112049217151782,0.278973866440288,0.000443649722102796,0.0107601645072417,0.289242822919086,0.000468436100644671,0.0091889400252367,0.141947953825978,0.000218412484691866,0.0120245437179665,0.195847774716419,0.000940783382467611,0.0289668432010919,0.551490826131949,0.00472014683827378,0.279696000464093,0.269766817862278,0.00423483301724537,0.148163247173904,0.275616896308083,0.0041845609059531,0.333753051402554,0.161960964194751,0.00114040679841132,0.131308272028009,0.476820168348722,0.000199842912303946,0.00797849970086847,0.291952885118192,0.000185276491567742,0.0138406132158858,NA,NA,NA
"Syr_Darya",0.00716557155682314,6.85537137356778e-05,0.859222642986192,0.00126205381051303,2.57219260076058e-05,1.58133038654567,0.00105176948871133,1.17072515175423e-05,1.53576107990794,0.0030972864079537,2.90573435570853e-05,1.01900834529294,0.0402859794647253,0.000236196465120871,0.596789778318559,0.247033911946604,0.00202395518313438,0.829980971936514,0.586605811844705,0.00960616580618398,1.63473584968777,0.787560332950386,0.0299072648378477,3.80254853098338,0.50168958723169,0.0249033763382669,4.93128363498498,0.352185330843744,0.0146762602888938,4.10231796380149,0.0197578573091205,0.000810903607383196,2.61767597402264,NA,NA,NA,0.00198793009492178,5.72645721421274e-05,0.446624535100176,0.00130285139746647,3.2654938608511e-05,0.844034754545211,0.00154646936983433,1.08569922699971e-05,1.63038032810138,0.00387683247494906,3.61047456140489e-05,0.652798525496073,0.0307988918022089,0.000219909367797887,0.173978331113866,0.071679538688155,0.000738052844004558,0.225912377167276,0.076594989833442,0.00274855312477278,0.433074407508481,0.0222152580708416,0.0067350341532828,0.857238319865442,0.0508092847646677,0.00604829432793704,0.972804354242399,0.0558781247603199,0.00464340601022432,0.912389400261642,0.0320915222205462,0.00149048822535784,1.59619193906649,NA,NA,NA
"Salween",0.026786290190346,5.91856383006114e-09,1.93979237110808e-05,0.0328652454476377,4.87276870343812e-09,1.76386227464253e-05,0.0268414214226776,1.21850548762006e-09,4.78784581720795e-06,0.0285329205460283,9.86110990595223e-08,0.0004562676279474,0.0219798178037656,2.29515592487737e-11,6.53754216093778e-08,0.047597619925084,7.58772493429635e-07,0.00116731904659863,0.00343239576022114,3.90680040390561e-08,0.000735708026853997,0.00151171335922603,8.13727929821146e-09,0.000161115903696285,0.000830846152969874,1.58076798205992e-09,8.26342221184504e-05,0.000152931055055205,1.73713408017428e-10,NA,0.0451159083839692,2.97170849526348e-09,6.63537484823123e-06,NA,NA,NA,0.00408612039482471,8.35556236053687e-09,2.67248148912514e-05,0.0126723228297351,6.21484100575404e-09,2.42732159770785e-05,0.0124646853077597,1.39100186519561e-09,6.06362913961868e-06,0.0128266199112625,5.87027891030953e-08,0.000413812928628073,0.0111927063697,5.62170989863427e-11,1.60125732557294e-07,0.0208853788829814,1.12168725140424e-06,0.00166763010561733,0.00202928704381983,5.94409048897259e-08,0.00105967161686524,0.00182587423067901,1.99299429746684e-08,0.000394437725573898,0.000728738301679254,3.87162690893564e-09,0.000202307395189206,0.000191902860640142,4.25450309959553e-10,NA,0.00275178347817551,5.59343961603807e-09,1.24421053696243e-05,NA,NA,NA
"Tarim",0.0165462253589421,0.000811704462471285,4.41080456036571,0.0160293346588132,0.000510815731407646,2.99867011772319,0.0152609640986479,0.00032139885074777,1.81444225333335,0.00887568705042675,9.54566127366712e-05,0.993105298702592,0.942003455604364,0.00704763651132017,0.744179994908097,1.70021664541289,0.0588341825317671,3.44343592256092,2.08789552922689,0.26652698995417,12.5653975473583,1.74939240477428,0.299124518920992,16.7948771999306,0.82679604213669,0.125182816828409,14.9069606146588,0.0773629470789075,0.00846159166677607,10.8838940359668,0.0139784454234616,0.000943113909039008,5.50099053939572,NA,NA,NA,0.00558831304073751,0.000788010302974411,2.66494429322529,0.00459766210247816,0.000376471294005343,1.61786076290938,0.00718107307284043,0.000269651011473554,0.851674627691615,0.00618164371820406,7.93454757747798e-05,0.707422717049559,0.0340805145733795,0.00269165308560074,0.272886123467479,0.106019731083996,0.0112669290304478,0.504309276447303,0.175226921708918,0.0994002566874914,3.71429574670773,0.13541621730315,0.123497108129203,5.92922201671048,0.0842321135089698,0.0538596289592318,5.68678457868457,0.0261883766909313,0.0044598084216333,5.05064609775633,0.00547363825423341,0.00114082531644149,5.04051064431945,NA,NA,NA
