"irrigationGrwt","IrrGrwt_km3_pgn","IrrGrwt_percent_pgn","irrigationGrwt_stdev","IrrGrwt_mm_pgn_stdev","IrrGrwt_percent_pgn_stdev"
"Ganges",135.338834930516,0.187487605740975,0.134138765648478,15.3565493742213,0.10122973007004,0.0594386538843646
"Mekong",25.6834646765225,0.00028409965349962,0.00107619538716321,2.50976005587657,0.000160984757471111,0.000542959036756617
"Irawaddy",5.36904357656391,1.41847825616667e-07,1.83275221667191e-06,2.20499772278031,2.18074957554566e-07,2.78558427814311e-06
"Luni_ext",4.48710808861583,0.0144585565213443,0.354953673092468,2.5344088767234,0.00532643831058136,0.0945330228049494
"Indus",47.3617155208498,0.374450244915027,0.774214742299559,10.4827827964418,0.134983654915486,0.125626524088753
"Amu_Darya",0.312770698591144,0.00216555238613505,0.692911161722918,0.0443578293018196,0.000512470793585871,0.128086672118703
"Brahmaputra",47.5816668242654,0.00853431176185244,0.0177457441964822,3.71777096240222,0.00405389433456436,0.00781648137451435
"Syr_Darya",0.156079038642426,0.000780249213776377,0.413395641715912,0.108469600135404,0.000781560711976332,0.162140589138433
"Salween",0.344544462423417,3.33760532346071e-07,7.77396794849475e-05,0.105238482309562,8.09064129301808e-07,0.000187864613154615
"Tarim",0.21603898591778,0.00144553773504345,0.69784803568972,0.0353237314095139,0.000703433929327643,0.412739982916776
"Ili",0.288060495482513,0.00162132195670848,0.524692786822962,0.071916230926427,0.00101909632822564,0.235264442814582
"Inner_Tibetan_Plateau",0,0,NA,0,0,NA
"Yangtze",104.012579376773,0.0279748545410026,0.0250731440117501,14.088375620085,0.0296702870807467,0.0232014299208045
"Inner_Tibetan_Plateau_extended",0.0828893116781937,0.000313178199541854,0.374919842057544,0.0417220601223433,0.000225563717698023,0.12453188554447
"Yellow",0.470405303494705,4.08282519696718e-05,0.00898932409505305,0.295363467283515,3.33620348973515e-05,0.00338269920672277
"all_basins",371.861873323303,0.619800090920558,0.164866641649642,23.8864008517733,0.223050843218495,0.0527101942871594
