"","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Ganges",0.521538722388028,0.34431761518626,0.454298075954919,0.257133218246907,0.682233239433449,0.429502113608463,0.532191801318309,0.850331151211657,0.434126312465546,0.461832946309733,0.708463760033071,0.662507720099075,0.419406981161446,0.532507510582943,0.52347429713315,0.539415249362117,0.395930668635581,0.371726993805585,0.657585696705342,0.496681298406685,0.639587920937369,0.674190735960004,0.69104126618627,0.408333945444754,0.501025558061938,0.457793669773863,0.626128017742764,0.685644414063428,0.838095017577629,0.636092593653585,0.338164853242162,0.46531844528782,0.67033889162817,0.767056511481171,0.833385966109944,0.719639462969605,0.82086676786726
"Mekong",0.00040918284135711,0.00067661904627336,0.000530748763953287,0.000491125917513869,0.000457948669606007,0.000421038589358554,0.000708731832872482,0.000731370653177683,0.00071384704052559,0.000702822273233932,0.00045917663318651,0.000531848081392021,0.000507724782997931,0.000505987811466278,0.000868794965834844,0.000743977439404139,0.000662669743205268,0.000715763913566469,0.000949222383713195,0.000860338263095088,0.000779986931695145,0.000721439016244624,0.000816381504865905,0.000730276187030136,0.000675220745356125,0.000788498824367671,0.000946546588374437,0.00070489958878383,0.000523452027810463,0.000971883690133039,0.00119739949290851,0.000772762993242756,0.000816314284750377,0.000847436679202478,0.000632324460246028,0.000785437070817554,0.000996369000177467
"Irawaddy",6.16590915276832e-05,8.45269607850022e-05,8.10349051704471e-05,8.0425075964168e-05,6.42675420606739e-05,7.74352576297474e-05,7.92423346193855e-05,7.97090533168476e-05,7.07478803358135e-05,7.20891350712768e-05,7.29342532004083e-05,8.01874041974016e-05,9.11168166035985e-05,8.35474860804681e-05,0.000100250728649261,7.03254688965667e-05,7.82597137599137e-05,7.07584345595493e-05,0.000101747025587208,9.8773260502835e-05,0.000105834527867332,0.000104160756065508,7.92506047448225e-05,8.07787288057232e-05,7.0148073356147e-05,0.000105109899715818,9.61366252928236e-05,7.52143417591021e-05,6.25222644965703e-05,8.9428459551547e-05,8.26248709995566e-05,6.88631196352568e-05,7.69951627421515e-05,6.92465449465128e-05,7.07457461766312e-05,6.25900276147347e-05,6.54874753820173e-05
"Luni_ext",0.0515082067764033,0.0453655934816602,0.0447914125848205,0.032657306432121,0.0500629413921519,0.0481975298270502,0.0531855412672496,0.0682694246717039,0.0339134603713496,0.0406720162557528,0.0492125741953643,0.0534729286225908,0.0367174013541235,0.0496773082019096,0.0294169327799971,0.0296342781649042,0.0372316440990448,0.0348711228617405,0.0357423940248068,0.0496767182869105,0.0627107814361879,0.0575563617205509,0.0638327755998165,0.0359653668749424,0.0451256333127329,0.0405120905948539,0.0505617454617476,0.0702099013427312,0.0704201052378928,0.0641416137503911,0.0380867711182748,0.0452175561130523,0.0537875905528513,0.0594504525075448,0.0743805007685666,0.0670740026872998,0.0716370361879659
"Indus",2.14541480846376,1.85595610038499,1.73104428071979,1.3498200870927,2.05630723313334,1.91978994911129,1.7408499558388,1.97861162682895,1.36768341047321,1.5200962698227,2.09509654727025,1.86117983987247,1.26502084053208,1.74430502979383,1.39211029432649,1.25021001370108,1.56895839061636,1.68384421459315,1.85673428275977,2.24256288709686,2.70637336275319,2.39543452818955,2.13253912712393,1.48870836919196,2.05634335962588,1.49564660305371,1.59776125456477,2.79835365598072,2.14283204544754,2.14246188107894,1.39494174563658,1.86014954381979,2.08518464730862,2.48727164561244,2.5474217287495,1.8670414344729,2.79064845701609
"Amu_Darya",0.373445510455646,0.219710611971738,0.235643959897761,0.339428186830001,0.448921985376758,0.397722206945323,0.325156047904365,0.210898444770208,0.280497944951849,0.216649125318714,0.376008052480168,0.283783537407959,0.217905467589077,0.210326868217989,0.341458889541086,0.313704960502742,0.316747016070541,0.383409354443326,0.276927834703596,0.263281937831504,0.399012181951133,0.418384493623833,0.299730622303066,0.261725540902136,0.181679825344,0.174880504479211,0.287689078969574,0.297894468947978,0.408883788822892,0.208790661605776,0.186983781681092,0.354531154559866,0.222974054602539,0.345746833708757,0.359534513307486,0.327312956961574,0.356950828737823
"Brahmaputra",0.0364438090210965,0.0425290024990276,0.0357749633788353,0.0388442131063191,0.0346750678506002,0.0366505690625606,0.0453903418851807,0.0427671546786613,0.0416819846711554,0.0342396650430462,0.0291939929301598,0.0406346913384728,0.0437223666337357,0.0340871087693446,0.0485115471721017,0.0496096610660857,0.0357342213492322,0.0318341066238017,0.0433810862806839,0.0507343764995642,0.0479823273451201,0.0542804370199142,0.0390870028070971,0.0319610587594214,0.0295212762090928,0.037786282214138,0.0585696074656306,0.0402562920912752,0.038875702847418,0.0493931030374899,0.0460956248848822,0.0378645802756784,0.0416903817230302,0.0470794818144814,0.0463212217791582,0.040323027397625,0.0438687551143342
"Syr_Darya",0.109341458089815,0.0411814142383077,0.0480858614049185,0.0843461592941411,0.167633603512398,0.123869010306968,0.0927782832968129,0.0554272502834678,0.0750741861622603,0.065089901913907,0.134310270507123,0.0959386913912105,0.0767905098954784,0.0637444212353409,0.119423820676924,0.108601287110018,0.0814750915610174,0.159703739059462,0.108569734650831,0.0682139745710282,0.109060600474051,0.0975318472985489,0.0825660228171788,0.0734479653466796,0.0614099686389525,0.0774889759065038,0.115383985408972,0.132244046523387,0.160168178007865,0.0680056910258073,0.0715751041332536,0.112361601222885,0.0953411638920505,0.119275327501314,0.197739114141101,0.173536198008983,0.0976264358740477
"Salween",0.00367398103780868,0.00486464993555831,0.00417634215406529,0.00501948454384894,0.00439965890975493,0.00350714828318283,0.00562714007550942,0.00453580560524957,0.00510595640465605,0.0052698869266269,0.00373931469675755,0.00419880138348162,0.00477555767595466,0.00454102639547846,0.00806725812573172,0.00498807393914789,0.00475227045605089,0.00475263043954136,0.00534822622373047,0.0064142687737834,0.00559971571973893,0.00553751495050275,0.00554669262199966,0.00465715208830902,0.00415945317574001,0.00518347677259354,0.00673918740138581,0.00528798314757843,0.00472869209577876,0.00746389230922761,0.0070847568894646,0.00573391351484731,0.00525871744046903,0.00585430717510046,0.00457970507028691,0.00500704756968949,0.00562124943008978
"Tarim",0.407035748318437,0.303438612638882,0.214177079548602,0.258297499408835,0.461868439114185,0.364388121683064,0.329324494353505,0.190888839877129,0.27222653804642,0.196124217580984,0.386542336452246,0.261470875529384,0.202937233834809,0.159269131242204,0.406315037840018,0.356850506871226,0.287825688008429,0.424054732137019,0.37506962625776,0.407789143738304,0.480187807254921,0.472056951455622,0.411256635763786,0.266933685298619,0.361138083808194,0.287211369628112,0.502807050975275,0.595816481912464,0.719422449102342,0.378940542099164,0.452285674973963,0.417764775995923,0.337292033841113,0.480812830358607,0.389398540747127,0.42616004800986,0.454639947844063
