"","Basin","Jan_mean","Feb_mean","Mar_mean","Apr_mean","May_mean","Jun_mean","Jul_mean","Aug_mean","Sep_mean","Oct_mean","Nov_mean","Dec_mean","Jan_stdev","Feb_stdev","Mar_stdev","Apr_stdev","May_stdev","Jun_stdev","Jul_stdev","Aug_stdev","Sep_stdev","Oct_stdev","Nov_stdev","Dec_stdev"
"1","Ganges",3.97557233297905,5.90607535386764,4.65967266965798,5.14258051080423,2.31411671572082,0.326710836462222,0.075634571217447,0.0874904893819264,0.370601755710701,1.71354485156613,1.11378129904432,1.72882556164332,2.41647123342089,2.96641895647361,2.10135840889139,1.95616523119572,0.866742954551777,0.167400933860332,0.0769674997934341,0.0974886254526586,0.195768694162046,1.19980649246383,1.19421963210709,1.86080983729411
"2","Mekong",0.930708263148143,1.72911429830059,2.3957524074931,2.53513196722181,0.238280066538011,0,0,0,0,1.96546815613068,1.10982855671186,0.689873656779431,0.393448375906451,0.64038819555302,0.634070896545983,0.928890878674198,0.581645162784533,0,0,0,0,0.758428819831702,0.453853124329348,0.352543065662365
"3","Irawaddy",0.523699021542678,0.776009126831523,0.637517559175614,0.358918140895413,0.0274138654399348,0.000952458551454955,2.99920079659789e-05,3.39847860373452e-06,0.00222758467888632,0.107804158542818,0.191005527961349,0.265123234967813,0.330993751344027,0.36432959556775,0.325350241329454,0.167233675777069,0.0309235670230121,0.00337468873263847,0.000153495755777017,6.14472191836145e-06,0.00354319780304066,0.149515598115555,0.113052355956346,0.1736451782758
"4","Luni_ext",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Indus",18.4873973381773,29.9923409821713,26.738089801865,18.5876325170869,8.83065420919277,0.692949227784568,0.0122924385135142,0.0113222546616057,1.12115433443553,6.287070600525,7.54528445991482,12.9135231579822,8.21053759100678,10.2395780388646,8.99334395560472,4.93836083073141,4.42976337787438,0.712071313422627,0.011697160540718,0.00930273667617842,0.800221517679616,3.68093899518411,4.54975543705109,7.84348244300764
"6","Amu_Darya",13.3442499447757,19.6405334880244,13.451915620834,7.94683655632654,4.46230320835907,0.727310689569624,0.0402016724615572,0.0534206134959872,0.678345547394229,3.1727501147245,6.97614022249256,10.0064024366282,5.6649180434373,6.83236689647031,4.61528127598009,2.3853155988865,1.81590395375715,0.665245221876406,0.0400193898383601,0.0296261593661401,0.493625854611597,2.14622410724538,4.10445382488713,5.07350928216403
"7","Brahmaputra",7.64644162020689,14.7199900143737,18.2172176883162,17.8957839606201,1.76404789334683,0.032046226251549,0.00502753354613323,0.00339508618506518,0.0854114330373134,4.43799696651114,5.81020709168263,5.09259301844002,2.84437241733295,3.93766609227819,3.36369640737479,5.48131525672142,1.13731724458977,0.0730071248480348,0.00467194081496171,0.00171724415447681,0.0808145814098891,3.18378102313539,2.18368484062492,2.28012210519798
"8","Syr_Darya",11.4944710508621,12.995534625125,7.39845125076726,3.40548691510057,1.36055612012333,0.19072069665613,0.0211055609280651,0.0379204731373999,0.482119357510787,2.08313830311381,6.88067199770328,10.52950115175,3.78904577125903,4.76640222350179,2.89317595238824,1.57870350056418,0.658234266353344,0.164510501548253,0.0196784170196474,0.0374681936932642,0.339604009660257,1.173280542882,4.34607477181407,4.20537997275784
"9","Salween",1.80012228017081,3.2870667578969,4.51359379363378,5.22034125241425,0.120009382965562,0,0,0,0,2.95734489714458,1.94150526483174,1.23520643125129,0.74957233449891,1.05793698487272,1.11965420063137,1.71892062101166,0.33232893122538,0,0,0,0,1.81666824334254,0.739874220831471,0.58383451889154
"10","Tarim",4.19487953308202,6.81119717513222,8.47799020489141,10.0242622449115,8.11387749191446,3.19914107234327,0.329562383656622,0.424657761377522,3.85310573568716,4.69545390999244,2.89312867314832,3.71143632015412,1.8414986651195,2.12286136596755,2.74380870072761,2.78540188072076,2.69572507866101,2.30126653180427,0.266450103450944,0.343679138180525,1.5503142118446,1.58685126137931,1.30106925131908,2.20490853831098
"11","Ili",10.0637428992489,12.1914190182723,7.51387449174929,3.17436269599418,1.39778357626335,0.223876349651809,0.0427944017910646,0.078804519842852,0.876950839226394,2.61387864455713,9.66822318568965,11.928397530893,4.05179363290241,3.65277546089343,3.70341055640018,1.3094388281454,0.685098212961413,0.171387915293435,0.0266170789516056,0.0556779111823149,0.486239168125924,1.44642575509649,5.20208543791552,4.22519553945232
"12","Inner_Tibetan_Plateau",3.20623860872027,5.34623215414787,8.31406766950511,17.0593215678266,11.5170028901189,0.757312041548731,0.000467578667082643,2.21289847707346e-05,1.98544074612249,6.74828538093344,1.65899131689409,1.85864764630454,1.10375578224719,1.35604282288831,1.4852814646112,5.06371556065058,5.29147915897974,1.55717650414623,0.00284416999609709,9.51863491156599e-05,1.95400403148549,3.88411855270645,1.19424263965078,1.20636135846822
"13","Yangtze",8.41652748819277,11.0364750386665,12.8484646856331,14.3420882819489,3.63921029504389,0.100423477299903,0.0153507680339462,0.0294766133156793,0.409052701543659,9.72919339408669,7.01353179324907,5.47649254595999,3.44097130412922,3.68076238235495,2.58217868665285,4.32532607939266,2.42970422428816,0.0515590249726524,0.014173525909389,0.022375667533343,0.376524094405259,3.05154442951545,2.1646224867337,1.9736660259819
