"","Basin","Jan_mean","Feb_mean","Mar_mean","Apr_mean","May_mean","Jun_mean","Jul_mean","Aug_mean","Sep_mean","Oct_mean","Nov_mean","Dec_mean","Jan_stdev","Feb_stdev","Mar_stdev","Apr_stdev","May_stdev","Jun_stdev","Jul_stdev","Aug_stdev","Sep_stdev","Oct_stdev","Nov_stdev","Dec_stdev"
"1","Ganges",20.6565046630526,30.3150661957154,19.1270596455426,22.299995425049,47.4358185784003,152.834926104464,288.340504146424,257.26293621755,160.571745369312,40.5483981221764,8.81320163537412,9.01637035518585,13.3298136955304,22.5413066894039,13.7252731278739,11.8761558776153,20.4342492346043,55.1703210660958,46.4347219791322,38.3260067235836,44.8195606288643,23.0068893650068,9.79662716290096,10.2308117118598
"2","Mekong",19.4878606843127,38.8857797506767,68.8329353635777,113.651510676911,167.848822910258,194.69382929945,184.630843401103,203.784847506027,210.762727768629,119.184179746318,54.9535087334225,19.4193149089639,10.6996845177537,16.3103533311982,23.5061703828195,23.00362693285,25.9517443316111,29.3915754109745,20.1911364818997,19.9721076926034,25.5810847031106,26.0172193404533,25.3966133127761,10.0823794857117
"3","Irawaddy",8.09386268279306,16.1538047435802,24.1371473749508,46.07960687857,102.730713059405,172.035700026821,184.657125336291,164.889189918716,140.863594274018,90.6273873463417,30.5839618073282,8.15587136884477,4.86065000604086,8.87608827654988,14.4603401575245,17.7537243002824,35.0770074255851,26.0131285153308,26.6898206185688,23.1197807790611,21.5203684734929,25.9895693496061,16.7050082348032,4.53358087617588
"4","Luni_ext",1.21122698742144,1.92865144801739,1.13727581465611,1.32897313535222,1.64102200571303,7.57115725918344,27.0338287199847,26.6475491786956,14.3491450454814,2.52973327011093,0.873312029266339,0.46776288278591,1.42321730266235,2.36474486545327,1.42626944960952,2.02034152658843,1.7967567042006,6.35572329358128,13.396462610945,13.2835683163433,11.8050447935236,3.64619654413227,2.09060347548383,0.734068576420696
"5","Indus",36.8413411491359,69.5986436962571,71.0141759394631,56.2860387287417,40.9903018654301,54.6342766170621,116.697804632732,102.608610156516,55.1694617557003,22.6432625604466,17.9784407327656,26.1074295657644,17.3209914059513,29.3439550601167,24.0676267843409,16.603443684488,11.8587563612753,17.8518387177072,39.812034620228,26.7968866370938,19.5596500493521,11.6406019867158,10.5594102090744,17.7749114885628
"6","Amu_Darya",28.7202620134364,46.5102310521629,45.9624737252538,43.5514287786899,34.008321662725,19.3672957624676,13.7549414554405,9.53019153392657,5.8174808197405,11.0825129996677,21.7255401417762,23.4314454037226,10.4461837893569,16.2156801161592,14.1318067466265,12.7028071945659,10.4470883805303,6.7377324932443,5.06558816549213,3.14168263126608,2.2370170675414,6.51802793345828,12.4935985885811,12.240192835442
"7","Brahmaputra",16.9228294612438,37.6597687372632,64.4280868290673,124.103245496077,157.42525526501,231.398494750192,235.267554038551,188.183367618791,158.851879714497,71.6033370652921,20.0350238513841,12.9669224730436,7.02954697895811,12.0867496558021,19.7020353803054,26.5896734474778,35.8389170182259,42.0849099903585,40.006715382632,36.4238955467177,26.3963726510541,20.8892510744711,9.23100144098099,6.20873311700345
"8","Syr_Darya",16.1684460528726,21.9470594634652,24.7934060221924,31.1298549540992,33.8416171434211,31.0712737349252,25.380814471359,18.2990490920363,13.216839311316,16.2344346331891,20.2497946795149,16.8856316190354,4.88264229162016,7.25508501206511,5.58104848750743,8.63674541510556,6.39019426483394,6.72185198149573,10.0024372318092,6.41183723072958,5.11015902366343,7.08968823711178,9.30593228166781,7.01052269168838
"9","Salween",6.03203098839256,8.29170048465418,11.6015829467018,23.7300859016518,58.1818048495907,93.6460383443482,94.0673588236874,93.8567532296442,79.246639083536,44.9677248511658,19.2502167653244,7.39454662614667,3.79280594347062,3.56049554808645,4.59778167526462,7.31846884778598,16.7626733681362,12.7064577669655,10.4235441993497,12.6856335119615,11.8283961036387,8.97143389504817,7.89934158006413,3.85208371631848
"10","Tarim",4.5474524734504,8.68773723871096,14.6867558120432,23.9520452628323,31.5174472880224,38.2424836816214,33.2637611847112,25.1238873411019,20.5624745019844,10.8141399545241,4.91216870211435,4.1336927695617,1.9505682598645,2.84696875293723,5.67901303468275,7.30457294058285,8.48676389472959,11.2217639370354,9.7133179738255,7.90187320125327,6.9918643469345,4.94709045146286,2.76325440817532,2.41791360191258
"11","Ili",10.1940627708271,13.0491449851324,16.0683300609701,25.816319987409,31.0966006057904,34.0021590379257,31.1019908298631,24.2049155408722,20.3822558689174,18.3700220845072,18.6610941447851,12.7405487388649,4.12208685426416,3.90492149808931,5.36436542472341,8.32108583351853,8.05726086041994,8.4239944434579,10.4448244834352,7.84805062972715,6.74756215449503,7.464942892038,6.37020145886294,4.55868520590138
"12","Inner_Tibetan_Plateau",3.24320889123005,5.41122388595752,8.46134338424245,19.3887229076948,32.1073592471675,50.3170835026206,67.4211729234135,60.0441464796696,32.0792073875674,7.98536342124072,1.6787792490233,1.88070130895522,1.11472006087453,1.36931498630355,1.49787221013506,5.05480087608326,7.22650556924859,11.8813030684358,12.759390084156,12.5413857528072,9.1896504947333,4.24468565127583,1.20473610304181,1.21861677284956
"13","Yangtze",64.2244719392042,105.053549845786,147.419928512386,232.942007666991,290.798086491366,375.195296996026,375.89559841071,333.292621606232,235.463271433663,154.169680880619,101.143403101247,48.2751146921148,20.6813506486619,30.2922580048091,33.9027977670053,43.7855674366355,40.3302852404177,47.693660002359,51.9849049160839,54.6209063991305,35.1467127385071,34.4665886779469,29.2987322586084,21.1234668508319
"14","Inner_Tibetan_Plateau_extended",1.40913301836127,2.73236342363838,5.6621339828847,8.1022387707744,14.6993503668446,22.5938516058458,21.7878506618286,20.9849113952081,16.5100058884911,4.74036534117569,1.7873633997058,1.31025322991303,0.838903016693453,1.05741724115487,2.92828504802888,3.55193713142941,4.88633310061548,7.86901299897945,6.79358773822974,7.83235580690622,9.70855623487971,2.10466611183366,1.24818598916601,0.934269805582809
"15","Yellow",4.52622223326403,9.53044528221538,16.3465855647059,28.9615662574088,46.5426921187263,59.477209349958,83.623454752782,78.6415341117356,64.1239335785792,31.8833069367113,11.0280820754397,3.89375775020335,2.97956412908594,3.78956862291617,6.77534897263682,9.82848892971145,15.560338383824,16.2142469939981,20.7179127828601,20.5699281498917,17.3750116898195,10.9501268027802,7.85302285528393,3.7665847110141
"16","all_basins",241.451368481769,426.097237412434,557.648971955788,796.486444964004,1113.49293851106,1571.37902703815,1755.82016057968,1631.68956328124,1251.84411034744,644.895268195385,341.534395782925,205.193303347166,52.2054867445791,87.795899396952,82.1267569303089,81.9037760241891,105.804356927884,136.021357918987,123.979805139935,112.357679729854,104.575684369753,86.1943104112465,65.8931648897008,64.9005854096684
