"","rain.mc[, 1]","X1980.01.01","X1980.02.01","X1980.03.01","X1980.04.01","X1980.05.01","X1980.06.01","X1980.07.01","X1980.08.01","X1980.09.01","X1980.10.01","X1980.11.01","X1980.12.01","X1981.01.01","X1981.02.01","X1981.03.01","X1981.04.01","X1981.05.01","X1981.06.01","X1981.07.01","X1981.08.01","X1981.09.01","X1981.10.01","X1981.11.01","X1981.12.01","X1982.01.01","X1982.02.01","X1982.03.01","X1982.04.01","X1982.05.01","X1982.06.01","X1982.07.01","X1982.08.01","X1982.09.01","X1982.10.01","X1982.11.01","X1982.12.01","X1983.01.01","X1983.02.01","X1983.03.01","X1983.04.01","X1983.05.01","X1983.06.01","X1983.07.01","X1983.08.01","X1983.09.01","X1983.10.01","X1983.11.01","X1983.12.01","X1984.01.01","X1984.02.01","X1984.03.01","X1984.04.01","X1984.05.01","X1984.06.01","X1984.07.01","X1984.08.01","X1984.09.01","X1984.10.01","X1984.11.01","X1984.12.01","X1985.01.01","X1985.02.01","X1985.03.01","X1985.04.01","X1985.05.01","X1985.06.01","X1985.07.01","X1985.08.01","X1985.09.01","X1985.10.01","X1985.11.01","X1985.12.01","X1986.01.01","X1986.02.01","X1986.03.01","X1986.04.01","X1986.05.01","X1986.06.01","X1986.07.01","X1986.08.01","X1986.09.01","X1986.10.01","X1986.11.01","X1986.12.01","X1987.01.01","X1987.02.01","X1987.03.01","X1987.04.01","X1987.05.01","X1987.06.01","X1987.07.01","X1987.08.01","X1987.09.01","X1987.10.01","X1987.11.01","X1987.12.01","X1988.01.01","X1988.02.01","X1988.03.01","X1988.04.01","X1988.05.01","X1988.06.01","X1988.07.01","X1988.08.01","X1988.09.01","X1988.10.01","X1988.11.01","X1988.12.01","X1989.01.01","X1989.02.01","X1989.03.01","X1989.04.01","X1989.05.01","X1989.06.01","X1989.07.01","X1989.08.01","X1989.09.01","X1989.10.01","X1989.11.01","X1989.12.01","X1990.01.01","X1990.02.01","X1990.03.01","X1990.04.01","X1990.05.01","X1990.06.01","X1990.07.01","X1990.08.01","X1990.09.01","X1990.10.01","X1990.11.01","X1990.12.01","X1991.01.01","X1991.02.01","X1991.03.01","X1991.04.01","X1991.05.01","X1991.06.01","X1991.07.01","X1991.08.01","X1991.09.01","X1991.10.01","X1991.11.01","X1991.12.01","X1992.01.01","X1992.02.01","X1992.03.01","X1992.04.01","X1992.05.01","X1992.06.01","X1992.07.01","X1992.08.01","X1992.09.01","X1992.10.01","X1992.11.01","X1992.12.01","X1993.01.01","X1993.02.01","X1993.03.01","X1993.04.01","X1993.05.01","X1993.06.01","X1993.07.01","X1993.08.01","X1993.09.01","X1993.10.01","X1993.11.01","X1993.12.01","X1994.01.01","X1994.02.01","X1994.03.01","X1994.04.01","X1994.05.01","X1994.06.01","X1994.07.01","X1994.08.01","X1994.09.01","X1994.10.01","X1994.11.01","X1994.12.01","X1995.01.01","X1995.02.01","X1995.03.01","X1995.04.01","X1995.05.01","X1995.06.01","X1995.07.01","X1995.08.01","X1995.09.01","X1995.10.01","X1995.11.01","X1995.12.01","X1996.01.01","X1996.02.01","X1996.03.01","X1996.04.01","X1996.05.01","X1996.06.01","X1996.07.01","X1996.08.01","X1996.09.01","X1996.10.01","X1996.11.01","X1996.12.01","X1997.01.01","X1997.02.01","X1997.03.01","X1997.04.01","X1997.05.01","X1997.06.01","X1997.07.01","X1997.08.01","X1997.09.01","X1997.10.01","X1997.11.01","X1997.12.01","X1998.01.01","X1998.02.01","X1998.03.01","X1998.04.01","X1998.05.01","X1998.06.01","X1998.07.01","X1998.08.01","X1998.09.01","X1998.10.01","X1998.11.01","X1998.12.01","X1999.01.01","X1999.02.01","X1999.03.01","X1999.04.01","X1999.05.01","X1999.06.01","X1999.07.01","X1999.08.01","X1999.09.01","X1999.10.01","X1999.11.01","X1999.12.01","X2000.01.01","X2000.02.01","X2000.03.01","X2000.04.01","X2000.05.01","X2000.06.01","X2000.07.01","X2000.08.01","X2000.09.01","X2000.10.01","X2000.11.01","X2000.12.01","X2001.01.01","X2001.02.01","X2001.03.01","X2001.04.01","X2001.05.01","X2001.06.01","X2001.07.01","X2001.08.01","X2001.09.01","X2001.10.01","X2001.11.01","X2001.12.01","X2002.01.01","X2002.02.01","X2002.03.01","X2002.04.01","X2002.05.01","X2002.06.01","X2002.07.01","X2002.08.01","X2002.09.01","X2002.10.01","X2002.11.01","X2002.12.01","X2003.01.01","X2003.02.01","X2003.03.01","X2003.04.01","X2003.05.01","X2003.06.01","X2003.07.01","X2003.08.01","X2003.09.01","X2003.10.01","X2003.11.01","X2003.12.01","X2004.01.01","X2004.02.01","X2004.03.01","X2004.04.01","X2004.05.01","X2004.06.01","X2004.07.01","X2004.08.01","X2004.09.01","X2004.10.01","X2004.11.01","X2004.12.01","X2005.01.01","X2005.02.01","X2005.03.01","X2005.04.01","X2005.05.01","X2005.06.01","X2005.07.01","X2005.08.01","X2005.09.01","X2005.10.01","X2005.11.01","X2005.12.01","X2006.01.01","X2006.02.01","X2006.03.01","X2006.04.01","X2006.05.01","X2006.06.01","X2006.07.01","X2006.08.01","X2006.09.01","X2006.10.01","X2006.11.01","X2006.12.01","X2007.01.01","X2007.02.01","X2007.03.01","X2007.04.01","X2007.05.01","X2007.06.01","X2007.07.01","X2007.08.01","X2007.09.01","X2007.10.01","X2007.11.01","X2007.12.01","X2008.01.01","X2008.02.01","X2008.03.01","X2008.04.01","X2008.05.01","X2008.06.01","X2008.07.01","X2008.08.01","X2008.09.01","X2008.10.01","X2008.11.01","X2008.12.01","X2009.01.01","X2009.02.01","X2009.03.01","X2009.04.01","X2009.05.01","X2009.06.01","X2009.07.01","X2009.08.01","X2009.09.01","X2009.10.01","X2009.11.01","X2009.12.01","X2010.01.01","X2010.02.01","X2010.03.01","X2010.04.01","X2010.05.01","X2010.06.01","X2010.07.01","X2010.08.01","X2010.09.01","X2010.10.01","X2010.11.01","X2010.12.01","X2011.01.01","X2011.02.01","X2011.03.01","X2011.04.01","X2011.05.01","X2011.06.01","X2011.07.01","X2011.08.01","X2011.09.01","X2011.10.01","X2011.11.01","X2011.12.01","X2012.01.01","X2012.02.01","X2012.03.01","X2012.04.01","X2012.05.01","X2012.06.01","X2012.07.01","X2012.08.01","X2012.09.01","X2012.10.01","X2012.11.01","X2012.12.01","X2013.01.01","X2013.02.01","X2013.03.01","X2013.04.01","X2013.05.01","X2013.06.01","X2013.07.01","X2013.08.01","X2013.09.01","X2013.10.01","X2013.11.01","X2013.12.01","X2014.01.01","X2014.02.01","X2014.03.01","X2014.04.01","X2014.05.01","X2014.06.01","X2014.07.01","X2014.08.01","X2014.09.01","X2014.10.01","X2014.11.01","X2014.12.01","X2015.01.01","X2015.02.01","X2015.03.01","X2015.04.01","X2015.05.01","X2015.06.01","X2015.07.01","X2015.08.01","X2015.09.01","X2015.10.01","X2015.11.01","X2015.12.01","X2016.01.01","X2016.02.01","X2016.03.01","X2016.04.01","X2016.05.01","X2016.06.01","X2016.07.01","X2016.08.01","X2016.09.01","X2016.10.01","X2016.11.01","X2016.12.01"
"1","Ganges",2.84662352299992,12.5831879976696,10.1061114199644,4.43772449546309,37.0453683128777,197.271310229237,314.411523467726,273.56508856451,126.22607721957,18.2188719380202,2.07006738211874,12.0208264963932,24.5856361740475,5.564161164131,17.310483213068,18.4900541504378,49.5794758687018,133.662381623748,315.789654414923,209.215926629203,146.209132716434,6.66392290931029,11.6215220311188,6.94419635217425,38.3468472952214,14.8136163762005,25.7471961892041,20.0743948941473,36.6192600982635,120.458650930008,235.468161763076,270.236455136069,100.712550731472,20.7655452063725,24.3721575087115,5.86561323528699,19.6775925146949,7.52733205160238,11.3157511640127,44.2979787704631,54.2972372725972,97.0694499691175,278.132425046013,266.059188144776,229.742370159209,67.4744431373634,1.43273199395557,9.47618915148918,25.9050146647054,41.8013780626294,1.48837819781929,10.0706405066529,39.1024381234973,170.135558893566,248.699147937491,230.293109349144,131.023394121689,13.3729913457595,0.738554513647509,5.03473654023342,18.3859000634668,2.05157547831082,2.49833391353632,9.68624778934299,30.5822125769235,98.257525665787,294.807705981848,201.284443909843,154.949160506077,84.8406194513938,5.19097723565975,10.6123760816553,5.39567397381751,35.839322451886,7.09216335112454,12.070767456753,33.4525634465483,152.781080994328,270.829734381854,184.843646342628,125.457685225633,39.0297616861408,6.73786554716144,19.3573277509258,19.4472122301036,11.7302169992099,8.33449876547907,16.056335250279,22.4639172977414,59.7535209892269,181.129395110373,239.96785106909,138.434951406918,49.5292806958662,2.45827685297309,5.80528980991873,3.52367250889281,16.2563469337238,16.8473267107231,15.3330584866934,27.6611835445322,144.754625759501,371.451491198073,291.546917323125,143.926887030446,24.6889164275154,3.59785016060537,9.1196797469966,16.982088926814,7.11246444345819,10.1884546069503,2.62490051996137,45.4209350239787,137.882002551609,275.073667571535,248.444380588146,170.156817337868,21.3664874114012,6.60156757711839,11.4306663419346,1.74683254023887,58.1238152289579,21.3404582358831,12.9327849555833,97.5867766496953,184.309143306364,338.55597245631,259.69588384986,236.457592678123,44.6411662270488,3.87688771787617,16.1827696830075,7.45980174626375,24.4559463342368,23.1963093924371,15.8544010330881,34.4980122437899,134.359351290398,245.56828383353,281.875465704875,137.8123334112,12.4062332010573,3.4277768709455,21.3610706721694,16.3986879453704,8.84483686880326,5.55866407796166,6.16646960584632,33.6702587606947,81.2861366241919,217.263602519811,261.748522568533,126.426420225925,30.6605639748264,6.13660909234491,1.45822569873893,11.81981073691,24.7217074728252,28.443581079801,27.6294228591211,50.1479250943161,155.461385418784,252.468321896766,216.163369884704,252.331189459914,26.3272692233556,7.39991213010494,0.605235699730317,35.3129409812343,37.4425833808286,3.35289655853291,15.7304376421217,32.0040411098769,168.25909083227,281.042260792161,267.704856919265,115.678951648606,15.9328408245769,2.5437395217509,1.84419437808357,30.3387603697672,22.0732185878012,20.911356243007,6.81775834712477,28.1809860803291,129.195335073036,277.049410716584,294.600272150464,154.22684725521,24.7411658719268,33.8653604487115,7.63315236051493,31.2587042691604,49.3825196687748,9.13136909348167,11.4848089402707,25.6820168863759,167.590752116055,324.722283697299,335.726456845799,179.392592869434,41.7030388897353,1.18944323146343,0.26305495204137,15.6885725796618,6.86119370010764,9.17535138168669,39.0231171685603,30.7297074761099,185.099844551031,355.593145283656,269.591968341638,178.290455162898,46.4331689728215,36.9175837606787,46.4372633236538,9.69197250668546,22.6880725521195,41.0087759064249,30.3650309644,49.1235312488808,146.217330761869,327.232535895509,285.852963484937,166.968594872061,67.2880714320529,11.2666843677426,0.502685985348971,11.1693936549049,11.6116403450379,1.12601487123231,5.61190318512897,60.9504430477893,159.164790903304,305.377247073399,251.44960476482,177.271731249193,65.8884744142336,2.7126339453706,1.94316275189682,6.67989282316684,27.2816194445672,10.7646852268835,12.5265056686042,98.3467882574603,220.628667547142,287.73289476454,208.282405900967,139.662790095147,11.8949544565787,3.18863615174238,1.19675605784948,3.06024473359006,7.69572153595326,9.23336697795282,16.5362721920838,87.5498345625698,241.750300061095,295.972943672232,224.868036302591,98.3864032976162,63.0618087988307,5.12590224414865,0.937168438898459,20.9881806073342,40.3072432014882,11.7254086768594,21.1044678715117,65.0153180786719,157.836449176574,166.135117936068,292.858750387569,164.589714654023,23.4570075162967,6.26957371249648,9.4223590771745,21.6376672185428,54.1465245215413,14.6328125772002,22.6804665404634,25.7341642454034,198.979538361655,358.761930334316,303.961345284419,269.91129052816,55.2598001651955,1.80117203668283,8.68338856609899,28.8233831998549,2.2955056252136,3.30023878202548,25.5334273846809,34.4883540591652,155.36219759209,241.614059168138,256.788574748761,114.254627109296,65.2929222051467,3.56247260753304,2.56450152152785,29.5885276449662,20.7598281763701,14.2780261246749,8.82688218479939,20.5972147812607,121.558807382109,330.855666115851,184.671767207581,148.251905792556,43.9149699897363,1.80232468717555,1.81323786988756,3.10873610028063,3.5171653585754,29.4679136377703,23.6283870601801,78.1843268416974,134.981166073053,260.614135398568,201.297133192187,123.496780072186,21.3893799968498,5.18050139896017,4.0430920938795,0.810649824315698,73.0531653748795,28.0003250048488,21.1882613714018,41.2550855855934,172.359750278805,319.368027533912,229.398469775929,207.410491537172,26.7439501722387,6.70455426435646,3.97143739515211,11.6724650567301,11.2426508015185,8.4129882655645,15.6844187568127,44.5523849695861,324.925646046793,322.076376962659,283.684683847093,154.697448664863,30.7412978980987,6.41164736930869,2.26682164115427,7.73896260964584,6.11091851250284,7.04137131578724,8.9540965324823,55.7139075755578,69.9489317945453,257.413364860287,240.448942405119,149.540238421481,59.9208729064449,14.7000663257548,2.16373744153838,5.33707337060861,20.5094912445758,2.46184661405373,9.11608125244841,43.7030390227279,94.2600118981688,316.390591401963,290.221656969246,226.428805695941,40.0894431092506,28.2254893256313,9.75540382984206,2.80967234631083,23.52080208946,8.56949622998793,18.5835094739096,62.6453692277094,228.058926483014,282.374603054837,334.298229734547,200.305084441052,21.3697525149248,7.17689352534533,3.06996092527657,25.7767191222326,17.1191085572696,6.07864752264943,17.8901732596767,14.9714579504444,61.6936052101684,308.501077833636,311.238449715923,214.57983693991,17.366722507124,6.43126018479538,3.40925165278806,17.4272562870949,76.1570626355276,8.7335530709828,24.0239683794059,42.7033825462384,247.59906113041,317.011465841068,278.156248604208,122.885402238268,99.2297583338884,4.77860149281644,5.59638066992923,39.854168093978,58.8720280543052,16.5204137315974,9.71006161971269,34.6171256866085,100.654890767248,249.331527186928,237.486044815268,159.753279791505,52.5837673661561,1.05673708000043,12.9429978329548,34.731510192929,27.7446663697158,61.8054069414604,46.7192930942322,34.1335398021263,135.7217070531,299.339241937622,233.328901437233,70.853216312758,28.5393860445728,7.17065199304487,3.90489192738509,11.1676477761791,11.3140235465897,20.0933430351036,7.35984216321008,66.4933855627995,153.515039576651,341.641179242077,264.635480042134,170.739262823446,54.0609437904682,1.13386615435046,5.3407543136943e-05
"2","Mekong",5.99665462671047,39.2962495459334,77.697645555958,132.003645799191,170.486962739378,270.707058078318,179.223603764782,227.592030256928,271.829619669617,128.073264638393,48.179977800933,24.6235700156694,15.1407759746479,40.0088496529436,63.4839731676121,115.294712352248,193.066890443161,233.734267509863,213.157581738662,184.572177165246,179.424937391872,140.111655923673,105.110551067732,14.9514232221431,9.42779989931233,45.9839824150952,62.9574306925921,131.539178405093,146.839007277304,214.223897386983,166.525247673038,198.191274944984,242.492030220659,116.222385412742,87.1153279104443,11.6427859754417,34.7195561525094,54.9529005752767,56.2143174718028,94.6550894873941,164.434116261182,196.959553593828,185.176643146202,221.600457446475,187.47927589601,180.043630719215,59.952542975911,19.1732272889123,9.46854068669798,31.426334906792,45.0443527978149,113.007278968117,173.340735042029,239.845606515737,158.103678061976,211.25373081406,191.947466229321,132.302513188748,51.6148253159299,11.5216448347127,27.6044191089367,89.4423239479889,82.0223653323429,146.656715451819,177.950329485757,210.389234905859,171.960594738834,190.098245940171,223.529244352627,125.354202127206,87.8796910654396,12.5616535934949,6.10877523884319,21.7390129997964,44.6578706534861,150.403368781871,208.754998270379,199.223434384097,204.148982901941,231.64131468453,210.929135067418,140.557262693264,59.0316581582208,36.2782885828102,13.0036939633469,46.421392114008,60.9758146296223,110.280149654304,136.493444696096,219.677896605252,155.870373165933,248.763153998007,250.418852375034,115.007092523423,112.632366676675,5.53871473251386,12.5226213155861,65.7552700135318,45.8534613106392,154.871170545759,189.677689091841,199.84659139422,176.599864944583,186.437811263313,191.76785676126,183.003897455626,29.8882873283093,5.40204387929375,28.9093577480878,16.1203209778211,135.629063530459,120.349953339332,217.60550564859,202.267093339993,189.369067999651,226.16410300252,211.78378902073,137.103497303446,33.1573605139775,10.1272018517141,25.8496024970444,73.6692765028339,117.457103572523,92.6824581421858,208.055871587025,223.080730643123,178.76441398554,201.897489842086,240.544492737594,135.176565515378,75.0323989567768,8.74487299473583,22.8405071760335,25.2355295757868,105.360322008222,120.370774499018,174.526406115911,225.443548816664,218.495598704088,234.86458657746,230.623344093823,126.552848314188,34.9472447226934,24.857352934548,32.748081744082,39.4382080031702,36.320111015841,88.2811159934725,162.911693370588,215.383889754972,208.989600126864,212.673634856183,192.005182089415,108.319263871305,22.4369692268665,17.9304123309584,16.7399855516985,27.2785395484289,72.6675090752702,111.087405256573,169.976311254868,182.845652322139,180.962769497884,218.154191146314,234.952978235146,109.298397671498,24.7816754642654,22.5661652281323,6.52640407756034,51.3635870789709,100.479924273137,120.259766077491,181.970242758543,256.949431307672,220.843330823816,210.745923166542,217.754508540194,79.3767110016631,23.0298678254657,29.221329287238,22.7762326397006,21.1880358342797,49.6886313947772,72.6498904558745,152.524921139411,183.452520564984,186.093653661315,213.018273198686,185.787443032663,115.143359010651,49.3092973993221,13.2581788224981,6.92377046839059,39.9697778022715,55.3305607424551,126.531218928351,158.734289456333,169.202384371645,164.323523235507,171.427545826882,233.709193395684,106.855973248849,91.6440164221849,17.2462212539767,12.1958260367944,45.8803766072751,57.5481981952439,119.530767882416,140.728966304159,159.044220002848,226.966488166945,206.119758073037,194.348765455099,95.9966514752755,27.5687814180804,21.0421724696973,14.6675405830337,35.4584080008764,39.8222349677126,77.9176609531282,153.037513416493,181.790713594673,149.075134118437,160.209258368996,184.009571926523,99.8578224063614,82.8912430201203,33.236654037716,21.8018679428577,24.0059351342687,72.178838734351,133.663106387026,203.905426622732,181.027486952196,170.330716033233,180.510953857738,189.747376246058,131.725473070985,85.2767918170518,22.5657938585699,23.050517885171,55.0237466494891,54.049759891413,142.739276555538,206.20613557734,228.182678242098,191.520415259525,219.632820659608,203.190529019223,120.846549932919,26.7386057816685,18.1570830538049,23.5880045438147,23.3927364961511,108.377199673626,80.9773295604165,194.842677932533,181.678247239237,165.043201629946,221.648855899111,168.91753530089,133.389113267057,31.8444810060048,17.71712622838,17.3086993704381,20.1266073009878,55.8857363516957,76.5585896402379,191.099076312026,180.468055817299,170.611542087863,227.811770871776,238.181061750016,112.81064110152,56.9057599133057,40.9950310201076,16.0599610963632,52.6338453535223,72.3002383357714,95.0281281946026,156.138653754257,198.913257775392,171.474381062319,184.254881591478,234.142977316864,81.8169427784267,15.4397794526598,10.0805764603592,18.6197625998135,31.1375198952852,48.7824246934612,139.051239908064,183.150939117231,208.709620213544,176.072648881236,187.452620695112,194.608650590628,50.8093274640996,39.3896868218314,4.07321636784885,12.2709892585764,21.1383684236808,78.1160995917105,118.695429260751,122.822891238975,174.123245963841,218.27275496209,204.575927960977,214.103877081056,94.9973365672344,67.5543299305625,33.5109870564027,4.6965567845834,42.727000520825,80.1770176401636,125.754803314936,156.331856369356,163.966008118208,177.899600207224,214.028019583784,176.66515200166,117.386573838754,30.2004698821741,13.8487279518764,9.03048902088659,33.8092273358743,62.7333995359486,95.7350388196674,169.017479492904,155.026374665205,180.522430787212,204.465563421836,188.128386210825,137.046485167663,50.0923402798445,8.68218032956767,24.8789746951185,30.7626364109688,71.4907443544469,102.070342619351,178.06749714684,187.722161052894,169.357142048655,201.467750598094,203.113712974038,123.913486005488,58.1872852748322,12.5501712533675,5.98328286962938,27.4890370590221,76.5343737810353,114.376399693774,165.736005345097,143.035753122036,186.075466605253,166.778734478576,223.817810436492,98.1137126388649,34.6713361435916,12.6748432323415,30.2787271878865,39.0153663450009,37.1974760638105,95.8420359409358,119.956084834412,157.600974292232,151.643167175353,205.824112274568,175.202967348683,142.903062490204,39.8486271313927,25.1514891553987,17.2413145900808,31.6769166940646,65.080135379319,103.11997162923,167.821794002714,192.728491335234,184.439613422612,186.184575610387,245.554033156179,105.86979500986,30.2767040934051,15.7669501373443,42.5441528802031,39.2096952319393,72.4072916063496,98.1651702373237,161.422301510756,178.664837976248,198.733766716556,178.940732984338,206.876585107617,78.6263935803434,86.1793602512427,21.7749098862408,20.196154415333,24.4829748641604,61.2300511689222,117.59637164599,146.688691742166,171.857446184527,209.588024991099,199.324522812531,248.47227778763,112.179849754231,54.5789959387552,35.4939752232826,2.85786283497802,16.8681341428981,46.9641508615501,126.395216485595,129.38863681884,187.965948885045,201.263747495133,203.645663531497,188.387922816997,79.0393830690034,47.5340399770095,22.5603914219046,24.9273975658756,32.4124113113441,57.6655061953566,88.6890877045307,115.551621477061,150.860518674832,192.868169437686,205.235178650182,199.554063575823,110.880555623857,54.6546610453255,37.166426030045,47.1097785524618,18.2560864653524,27.7944351286861,58.4761536869005,152.326421563339,177.072852476704,180.974266581819,192.831711668987,224.218322227913,130.380652975505,76.6388285282904,0.29553432777675
"3","Irawaddy",5.19748746816073,11.10405032678,17.7447119200686,30.6634416128481,73.4894681359436,212.164395816737,177.892633618496,161.403681782093,149.822353726413,88.9343417014983,11.6217074319999,5.57814733317199,9.39252918643135,8.95632959901289,20.8206551360616,41.7462475023529,108.941222037926,165.848838611649,165.065108503506,147.425077898486,113.609826073211,53.8598438587773,46.8170802850324,11.1986086451738,2.10746003428169,15.8549453477931,7.79868082817584,49.5134166185208,56.7847716735798,193.823063838199,142.927324035787,152.09024623892,115.632618151736,45.8498558734625,24.9231132599847,7.47655671150066,12.2364084120563,24.6077258288664,37.8756635023681,47.4839868485039,73.9203836014582,142.043087681318,166.340133208316,179.050456921924,128.192769736646,110.422391997031,67.6773048141116,15.475864340575,5.71257025427637,6.35765102096054,6.36004776196634,39.4560017610582,123.799218341998,204.818732990738,154.214779384104,131.344099091366,108.023719820917,79.4168846200196,4.44862503329546,8.51399998497856,2.95203170080508,11.0459713301464,20.0653296889531,40.0336919940703,97.176598184417,181.381015035431,143.883745997471,128.22066292911,137.713602906834,59.1659501916772,30.0106340308339,7.22045962537268,4.26830821610615,4.39233245406383,15.7377687524393,52.9816955782478,38.8904208823425,138.931562913931,187.792370607421,134.713506573462,112.957883081687,74.4768907075707,37.5966243495272,6.08950619623757,8.23511774282829,27.6280279012101,14.0814561656203,44.9058770344957,17.9563137879416,159.501857256848,153.00970777517,176.032907513345,138.665110035102,43.2299005759977,25.1854503627447,12.4858541186275,5.41487457176692,11.0885751889481,13.8584014754403,15.3271919805234,106.974294149597,176.357596605224,167.116618190716,150.940430354412,107.499761019365,96.7773883082709,69.9204907696475,7.94296319379965,3.11339500112995,14.5366324569498,10.2834410504703,32.2613274280158,68.9526723074188,138.913327934884,187.317617793194,131.997009524266,122.069681874952,131.804494023878,15.7535838696673,4.36864488558609,7.10110435322588,21.6763718929413,29.4552356304213,48.1004880871141,123.449905031263,174.725535276003,182.468762722877,112.65635385504,120.784976978492,70.297326570595,28.2784422627634,8.29115792110327,7.99591677895345,15.249059755621,16.8280409719729,67.3673083051786,112.895785910052,166.48948797267,174.729939849756,146.749303520075,106.647061638128,97.7077385826821,32.6584896478504,10.1960913473254,8.12651194392653,25.9879650586832,24.3590032285146,23.1398438789772,68.1924346393341,123.71470556227,167.694519562487,128.171568974794,106.599262405436,127.498403981081,34.1201229404591,5.79357595672341,13.6249186962338,42.0924034408385,25.9242555692649,36.0715248730714,117.120468100326,160.70042230655,149.164630722575,169.537812423257,137.826403527496,116.009260615765,13.3702233899268,3.4916437664561,6.61216732491988,9.35489954112403,61.3101340312396,45.569479152177,74.6832290142946,180.881458777003,168.890715000976,153.497661546047,133.38387117987,65.3063697962973,37.8049960845791,5.88915842255734,5.12987805014017,20.4523952037973,10.1834208440916,30.6952733265044,110.131858289301,189.657354904921,189.484257004136,162.561216014787,148.723325782515,79.7994443403271,79.9102120035505,6.51656074182181,8.03607404133392,25.3702155766017,66.2690870479186,53.2452684655404,106.524407283225,147.60113420878,159.807515387574,160.258166344309,140.93971730586,85.8399724187396,41.7403360221349,11.4680442701973,5.20528194357103,20.5604157779896,38.1047306640655,36.2352663947688,73.274056336731,136.770854707711,214.335495721621,155.905509554548,182.526195253429,53.3799796055252,41.47799531792,12.8615100461775,7.31189581613372,15.5215143294658,36.5994417050292,58.445249830792,124.406674706684,142.314030825374,170.420009430498,179.3362185593,117.023115336694,83.1286508137324,35.5067870114134,6.34212217511992,3.38562401965402,4.37155924596923,11.0162843834828,29.4432515166344,163.329698734584,164.730672193109,177.088739766565,182.937318302793,161.576916325357,103.241731387199,31.9100960402102,15.2902474654127,10.1643963470285,9.70163169309002,28.9743515919978,43.0494777397265,124.75171276327,170.955599566223,172.617175080115,157.561433666008,142.498255416777,98.0981874622021,13.6473899888325,0.319677786884375,3.96175997346803,18.0815041371723,24.3850210347321,30.3447987061235,169.021877685497,181.042854294564,176.699388878886,169.818054501317,150.542035659122,133.72574610181,32.4615121988747,4.0126384888036,13.1061791933206,6.96604195405696,18.0582715953841,36.6016132686515,147.307238202873,141.00531654025,202.916680913186,182.36618069245,123.133408834846,77.7219153421498,38.9011518235773,6.43359695065648,4.94890321776358,17.0814177082446,18.9289450963977,42.6199961087904,102.353183899784,258.848126766229,191.614958901017,155.419001855596,143.910779259293,96.0071668008356,6.56443437621869,11.3024007846463,9.21816966268897,6.44521462247528,18.0715391971881,100.441753971335,117.109655153221,194.331096198227,190.113651807095,177.146031605953,177.994275442221,79.1892210477895,22.2065950751455,5.49226509860425,5.34344684816618,21.7956192430442,43.1600717639039,18.9600574717215,46.3945145839651,147.906989118783,168.980922795366,192.27415343473,149.401146931923,105.422510206656,22.6162845250368,22.4103134844173,1.3725086549893,14.8362150253975,13.6153796809221,48.8336817860855,130.91765018917,160.585071537054,185.464898393489,159.572740230826,162.198167947904,85.4521096389638,31.4891354618203,6.53011355660442,6.68996131550135,26.4666664291336,6.66884781213372,52.7442927386989,167.572218735892,161.106383291531,222.379557062173,189.307790853549,166.394944414,123.977798907923,42.7805382073151,2.78041973397624,20.0704996619214,11.162306126916,26.7354911901731,40.7935561199901,112.611840943337,196.099005566887,243.451652310323,190.573389871628,143.542002396058,110.823247732743,18.2795188244853,5.28217739525393,6.50503809112699,10.7738088638781,15.486898029471,44.8638431714539,106.356337554401,164.788929416682,198.516990071919,190.808938438306,159.082223902806,85.5125767278888,26.3951187299207,6.06945298003889,2.22842471946833,9.76392135473725,39.6547076948098,72.5821277329242,112.879866859106,192.791692103819,182.784170657396,177.730485655018,160.2179319266,154.77484647758,21.931292687871,13.7598778457315,15.3106625245034,7.58619068113641,45.6981439271917,55.7987540432213,138.146124090245,191.050507606706,205.174117961549,194.061997056066,164.887210153684,105.26658985125,11.7963041515928,7.27560040342068,10.5873172487623,7.46637068683258,15.6358664136529,64.1037169629397,73.6337166811806,189.253017047304,205.529699187784,177.967920860334,159.117040384944,81.679121430135,28.0590481366801,2.7484295231449,1.99841200002689,4.41710136978477,13.5154718177423,32.3462040481506,140.189350146357,169.309100896935,198.855875536392,189.544619646971,173.189987814878,107.326978166226,11.7504851716122,7.4076212374297,4.22205376402223,14.9353352430014,13.2318304946515,29.2272588654014,85.544521521962,192.911291341879,194.742675713322,205.177636194217,136.929456504852,52.3916102277635,32.0901912244791,6.75198828330455,19.6631638019297,11.7916484637351,19.0739914746862,69.7346490265884,80.888566682873,171.94164684217,266.569298063812,202.440394508129,147.936652850476,85.9693964330009,18.0398427000783,10.890390252612,13.545602885641,33.4984029393027,23.9156840110802,85.9338693427622,103.449813335168,179.989896471379,226.256190121407,144.299924255349,160.676875505014,99.7387354235135,34.79822412538,0
